n,obj_coef,Method,Constraint,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,1.48711292249335
100,0,"StochOptForest
(apx-soln)",yes,1.3305530465658173
100,0,"StochOptForest
(apx-soln)",yes,1.3473564438524033
100,0,"StochOptForest
(apx-soln)",yes,1.3628295026425945
100,0,"StochOptForest
(apx-soln)",yes,1.276604893716092
100,0,"StochOptForest
(apx-soln)",yes,1.4743801699386552
100,0,"StochOptForest
(apx-soln)",yes,1.4831075878287538
100,0,"StochOptForest
(apx-soln)",yes,1.341214815653396
100,0,"StochOptForest
(apx-soln)",yes,1.3630725658479643
100,0,"StochOptForest
(apx-soln)",yes,1.5954614349923997
100,0,"StochOptForest
(apx-soln)",yes,1.4556899091822144
100,0,"StochOptForest
(apx-soln)",yes,1.3450896849264977
100,0,"StochOptForest
(apx-soln)",yes,1.4145872158443973
100,0,"StochOptForest
(apx-soln)",yes,1.5126423790669008
100,0,"StochOptForest
(apx-soln)",yes,1.4401906261419926
100,0,"StochOptForest
(apx-soln)",yes,1.3806155063439445
100,0,"StochOptForest
(apx-soln)",yes,1.4179200298598431
100,0,"StochOptForest
(apx-soln)",yes,1.5020428797257581
100,0,"StochOptForest
(apx-soln)",yes,1.4888478241824235
100,0,"StochOptForest
(apx-soln)",yes,1.2826387537037223
100,0,"StochOptForest
(apx-soln)",yes,1.4549844631689013
100,0,"StochOptForest
(apx-soln)",yes,1.4534080634106976
100,0,"StochOptForest
(apx-soln)",yes,1.3967870206577275
100,0,"StochOptForest
(apx-soln)",yes,1.4043897526327045
100,0,"StochOptForest
(apx-soln)",yes,1.4315553056200463
100,0,"StochOptForest
(apx-soln)",yes,1.4202473868636796
100,0,"StochOptForest
(apx-soln)",yes,1.404048091810417
100,0,"StochOptForest
(apx-soln)",yes,1.315981716654426
100,0,"StochOptForest
(apx-soln)",yes,1.4114474854825996
100,0,"StochOptForest
(apx-soln)",yes,1.4055494208796633
100,0,"StochOptForest
(apx-soln)",yes,1.39397203619227
100,0,"StochOptForest
(apx-soln)",yes,1.410322231574976
100,0,"StochOptForest
(apx-soln)",yes,1.4451896466262304
100,0,"StochOptForest
(apx-soln)",yes,1.399460315045452
100,0,"StochOptForest
(apx-soln)",yes,1.3779961627290154
100,0,"StochOptForest
(apx-soln)",yes,1.503650626988666
100,0,"StochOptForest
(apx-soln)",yes,1.5600197511367178
100,0,"StochOptForest
(apx-soln)",yes,1.4825234451840985
100,0,"StochOptForest
(apx-soln)",yes,1.3499975794989367
100,0,"StochOptForest
(apx-soln)",yes,1.278420713192867
100,0,"StochOptForest
(apx-soln)",yes,1.3776221663100383
100,0,"StochOptForest
(apx-soln)",yes,1.4253013726391892
100,0,"StochOptForest
(apx-soln)",yes,1.3594942258771097
100,0,"StochOptForest
(apx-soln)",yes,1.424669843016108
100,0,"StochOptForest
(apx-soln)",yes,1.3812464398253008
100,0,"StochOptForest
(apx-soln)",yes,1.4211510945394206
100,0,"StochOptForest
(apx-soln)",yes,1.3948694512480995
100,0,"StochOptForest
(apx-soln)",yes,1.3767497520303698
100,0,"StochOptForest
(apx-soln)",yes,1.354140291001915
100,0,"StochOptForest
(apx-soln)",yes,1.4470514034556359
100,0,"StochOptForest
(apx-soln)",no,1.4587343402991235
100,0,"StochOptForest
(apx-soln)",no,1.349205683985128
100,0,"StochOptForest
(apx-soln)",no,1.3553925173948655
100,0,"StochOptForest
(apx-soln)",no,1.4563746989910482
100,0,"StochOptForest
(apx-soln)",no,1.2939070092306586
100,0,"StochOptForest
(apx-soln)",no,1.433405999083266
100,0,"StochOptForest
(apx-soln)",no,1.465242629400413
100,0,"StochOptForest
(apx-soln)",no,1.3762618872891221
100,0,"StochOptForest
(apx-soln)",no,1.3996814861901543
100,0,"StochOptForest
(apx-soln)",no,1.4161450561736608
100,0,"StochOptForest
(apx-soln)",no,1.4312231094722518
100,0,"StochOptForest
(apx-soln)",no,1.3583043639599497
100,0,"StochOptForest
(apx-soln)",no,1.486920443228805
100,0,"StochOptForest
(apx-soln)",no,1.4179528867573923
100,0,"StochOptForest
(apx-soln)",no,1.4508402810215293
100,0,"StochOptForest
(apx-soln)",no,1.3868953969080575
100,0,"StochOptForest
(apx-soln)",no,1.3828834490905235
100,0,"StochOptForest
(apx-soln)",no,1.514102568895757
100,0,"StochOptForest
(apx-soln)",no,1.4093149554162419
100,0,"StochOptForest
(apx-soln)",no,1.337762199701258
100,0,"StochOptForest
(apx-soln)",no,1.3752681093994645
100,0,"StochOptForest
(apx-soln)",no,1.4264534762142003
100,0,"StochOptForest
(apx-soln)",no,1.4146873238895048
100,0,"StochOptForest
(apx-soln)",no,1.3889690085333048
100,0,"StochOptForest
(apx-soln)",no,1.5539225298101254
100,0,"StochOptForest
(apx-soln)",no,1.4760895461320303
100,0,"StochOptForest
(apx-soln)",no,1.3697813263771357
100,0,"StochOptForest
(apx-soln)",no,1.373474564596686
100,0,"StochOptForest
(apx-soln)",no,1.4453335311889972
100,0,"StochOptForest
(apx-soln)",no,1.4450547691883553
100,0,"StochOptForest
(apx-soln)",no,1.41827874102051
100,0,"StochOptForest
(apx-soln)",no,1.495533226159128
100,0,"StochOptForest
(apx-soln)",no,1.4273153876564548
100,0,"StochOptForest
(apx-soln)",no,1.3763714838770806
100,0,"StochOptForest
(apx-soln)",no,1.370114181396244
100,0,"StochOptForest
(apx-soln)",no,1.3286131044317662
100,0,"StochOptForest
(apx-soln)",no,1.5151141732205466
100,0,"StochOptForest
(apx-soln)",no,1.4535126173482342
100,0,"StochOptForest
(apx-soln)",no,1.3813048311140559
100,0,"StochOptForest
(apx-soln)",no,1.3031128345143936
100,0,"StochOptForest
(apx-soln)",no,1.3548148272022411
100,0,"StochOptForest
(apx-soln)",no,1.457758387387489
100,0,"StochOptForest
(apx-soln)",no,1.3685372288329627
100,0,"StochOptForest
(apx-soln)",no,1.4054028430459682
100,0,"StochOptForest
(apx-soln)",no,1.4440924694290804
100,0,"StochOptForest
(apx-soln)",no,1.334186752290838
