n,obj_coef,Method,Honesty,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,1.4165607431939646
100,0,"StochOptForest
(apx-soln)",yes,1.404110007620976
100,0,"StochOptForest
(apx-soln)",yes,1.4562492116889434
100,0,"StochOptForest
(apx-soln)",yes,1.4008410482036375
100,0,"StochOptForest
(apx-soln)",yes,1.5053180449504262
100,0,"StochOptForest
(apx-soln)",yes,1.4176378351251397
100,0,"StochOptForest
(apx-soln)",yes,1.489894484480526
100,0,"StochOptForest
(apx-soln)",yes,1.55871679273988
100,0,"StochOptForest
(apx-soln)",yes,1.5925736166129008
100,0,"StochOptForest
(apx-soln)",yes,1.4166071965097493
100,0,"StochOptForest
(apx-soln)",yes,1.8240223055618534
100,0,"StochOptForest
(apx-soln)",yes,1.4646988156503098
100,0,"StochOptForest
(apx-soln)",yes,1.419897105299313
100,0,"StochOptForest
(apx-soln)",yes,1.4188289314771791
100,0,"StochOptForest
(apx-soln)",yes,1.829076717701879
100,0,"StochOptForest
(apx-soln)",yes,1.4137331640941462
100,0,"StochOptForest
(apx-soln)",yes,1.427274602087348
100,0,"StochOptForest
(apx-soln)",yes,1.4673292826171427
100,0,"StochOptForest
(apx-soln)",yes,1.5854788947466667
100,0,"StochOptForest
(apx-soln)",yes,1.4638034941340394
100,0,"StochOptForest
(apx-soln)",yes,1.6765237663355097
100,0,"StochOptForest
(apx-soln)",yes,1.4310268369762582
100,0,"StochOptForest
(apx-soln)",yes,1.526863113756152
100,0,"StochOptForest
(apx-soln)",yes,1.5051726562281422
100,0,"StochOptForest
(apx-soln)",yes,1.4354851606061716
100,0,"StochOptForest
(apx-soln)",yes,1.6010359404718155
100,0,"StochOptForest
(apx-soln)",yes,1.4228540988056544
100,0,"StochOptForest
(apx-soln)",yes,1.5066821327041542
100,0,"StochOptForest
(apx-soln)",yes,1.4443436216715853
100,0,"StochOptForest
(apx-soln)",yes,1.5417873712862769
100,0,"StochOptForest
(apx-soln)",yes,1.4976120749146984
100,0,"StochOptForest
(apx-soln)",yes,1.6169363868633924
100,0,"StochOptForest
(apx-soln)",yes,1.4644234964426897
100,0,"StochOptForest
(apx-soln)",yes,1.519060358773992
100,0,"StochOptForest
(apx-soln)",yes,1.4576517251611498
