obj_coef,Method,Constraint,rel_risk,n
0,"StochOptForest
(apx-soln)",yes,1.3679569068825062,400
0,"StochOptForest
(apx-soln)",yes,1.2943092632517366,400
0,"StochOptForest
(apx-soln)",yes,1.2774473762927312,400
0,"StochOptForest
(apx-soln)",yes,1.2286968819666442,400
0,"StochOptForest
(apx-soln)",yes,1.4693974197391502,400
0,"StochOptForest
(apx-soln)",yes,1.2052760704765928,400
0,"StochOptForest
(apx-soln)",yes,1.2482851768351315,400
0,"StochOptForest
(apx-soln)",yes,1.2729233443885921,400
0,"StochOptForest
(apx-soln)",yes,1.3138584130106519,400
0,"StochOptForest
(apx-soln)",yes,1.4012750486995678,400
0,"StochOptForest
(apx-soln)",yes,1.404486811723204,400
0,"StochOptForest
(apx-soln)",yes,1.3482161516879687,400
0,"StochOptForest
(apx-soln)",yes,1.2501739566509202,400
0,"StochOptForest
(apx-soln)",yes,1.239594377610744,400
0,"StochOptForest
(apx-soln)",yes,1.155428731140799,400
0,"StochOptForest
(apx-soln)",yes,1.3190694764352282,400
0,"StochOptForest
(apx-soln)",yes,1.3102119172431148,400
0,"StochOptForest
(apx-soln)",yes,1.5705139277657232,400
0,"StochOptForest
(apx-soln)",yes,1.234426051372435,400
0,"StochOptForest
(apx-soln)",yes,1.3544841167226063,400
0,"StochOptForest
(apx-soln)",yes,1.2939300863970724,400
0,"StochOptForest
(apx-soln)",yes,1.2722513062655398,400
0,"StochOptForest
(apx-soln)",yes,1.3661181560935942,400
0,"StochOptForest
(apx-soln)",yes,1.3148616664333652,400
0,"StochOptForest
(apx-soln)",yes,1.2308399941395465,400
0,"StochOptForest
(apx-soln)",yes,1.164046765105132,400
0,"StochOptForest
(apx-soln)",yes,1.3943309959181478,400
0,"StochOptForest
(apx-soln)",yes,1.2720847599279734,400
0,"StochOptForest
(apx-soln)",yes,1.3013443044991369,400
0,"StochOptForest
(apx-soln)",yes,1.3045300855249806,400
0,"StochOptForest
(apx-soln)",yes,1.3042393374815169,400
0,"StochOptForest
(apx-soln)",yes,1.4527832784870556,400
0,"StochOptForest
(apx-soln)",yes,1.3791918476080307,400
0,"StochOptForest
(apx-soln)",yes,1.3783507042176066,400
