n,obj_coef,Method,Constraint,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,1.534041005688541
100,0,"StochOptForest
(apx-soln)",yes,1.470264991827486
100,0,"StochOptForest
(apx-soln)",yes,1.4826675632964483
100,0,"StochOptForest
(apx-soln)",yes,1.4782075771141652
100,0,"StochOptForest
(apx-soln)",yes,1.5687369336278647
100,0,"StochOptForest
(apx-soln)",yes,1.4377020120980288
100,0,"StochOptForest
(apx-soln)",yes,1.392062258027062
100,0,"StochOptForest
(apx-soln)",yes,1.4560580083672632
100,0,"StochOptForest
(apx-soln)",yes,1.4714576820432343
100,0,"StochOptForest
(apx-soln)",yes,1.4385755793619865
100,0,"StochOptForest
(apx-soln)",yes,1.5887971889684387
100,0,"StochOptForest
(apx-soln)",yes,1.7090412148914165
100,0,"StochOptForest
(apx-soln)",yes,1.4815091311030293
100,0,"StochOptForest
(apx-soln)",yes,1.444673328285163
100,0,"StochOptForest
(apx-soln)",yes,1.6356196486453625
100,0,"StochOptForest
(apx-soln)",yes,1.5498870597893932
100,0,"StochOptForest
(apx-soln)",yes,1.739483766327824
100,0,"StochOptForest
(apx-soln)",yes,1.3529131989346102
100,0,"StochOptForest
(apx-soln)",yes,1.5541823653473628
100,0,"StochOptForest
(apx-soln)",yes,1.420189200109655
100,0,"StochOptForest
(apx-soln)",yes,1.9596550217622883
100,0,"StochOptForest
(apx-soln)",yes,1.6469672251703145
100,0,"StochOptForest
(apx-soln)",yes,1.881773698845738
100,0,"StochOptForest
(apx-soln)",yes,1.5589803972763423
100,0,"StochOptForest
(apx-soln)",yes,1.5235382250493745
100,0,"StochOptForest
(apx-soln)",yes,1.5312765203289471
100,0,"StochOptForest
(apx-soln)",yes,1.5139162346544477
100,0,"StochOptForest
(apx-soln)",yes,1.5674922093885724
100,0,"StochOptForest
(apx-soln)",yes,1.6542630023943077
100,0,"StochOptForest
(apx-soln)",yes,1.4750338316608738
100,0,"StochOptForest
(apx-soln)",yes,1.5496642532189855
100,0,"StochOptForest
(apx-soln)",yes,1.444961547967557
100,0,"StochOptForest
(apx-soln)",yes,1.5277739244694448
100,0,"StochOptForest
(apx-soln)",yes,1.4491261880321977
100,0,"StochOptForest
(apx-soln)",yes,1.4700867836160785
100,0,"StochOptForest
(apx-soln)",yes,1.3754638094612288
100,0,"StochOptForest
(apx-soln)",yes,1.5183297417343697
100,0,"StochOptForest
(apx-soln)",yes,1.4077703057891888
100,0,"StochOptForest
(apx-soln)",yes,1.5426907314818727
100,0,"StochOptForest
(apx-soln)",yes,1.4524755114690637
100,0,"StochOptForest
(apx-soln)",yes,1.6160257512681135
100,0,"StochOptForest
(apx-soln)",yes,1.4623639316887862
100,0,"StochOptForest
(apx-soln)",yes,1.740914450563959
100,0,"StochOptForest
(apx-soln)",yes,1.4663333183369929
100,0,"StochOptForest
(apx-soln)",yes,1.535323171966014
100,0,"StochOptForest
(apx-soln)",yes,1.4174755484706714
100,0,"StochOptForest
(apx-soln)",yes,1.6558772942360092
100,0,"StochOptForest
(apx-soln)",yes,1.493106594789668
100,0,"StochOptForest
(apx-soln)",yes,1.4945273928254306
100,0,"StochOptForest
(apx-soln)",yes,1.5460218432640047
100,0,"StochOptForest
(apx-soln)",no,1.491459992235508
100,0,"StochOptForest
(apx-soln)",no,1.477437956233787
100,0,"StochOptForest
(apx-soln)",no,1.49369103164474
100,0,"StochOptForest
(apx-soln)",no,1.4504205387175708
100,0,"StochOptForest
(apx-soln)",no,1.5388528116564693
100,0,"StochOptForest
(apx-soln)",no,1.466248377540054
100,0,"StochOptForest
(apx-soln)",no,1.4317407765867727
100,0,"StochOptForest
(apx-soln)",no,1.4609390197949432
100,0,"StochOptForest
(apx-soln)",no,1.4722767002219306
100,0,"StochOptForest
(apx-soln)",no,1.4759494121045542
100,0,"StochOptForest
(apx-soln)",no,1.603940687106734
100,0,"StochOptForest
(apx-soln)",no,1.7432448909193479
100,0,"StochOptForest
(apx-soln)",no,1.4951034533876157
100,0,"StochOptForest
(apx-soln)",no,1.4351386687385723
100,0,"StochOptForest
(apx-soln)",no,1.6462238264363782
100,0,"StochOptForest
(apx-soln)",no,1.5919788370525139
100,0,"StochOptForest
(apx-soln)",no,1.5630605910640234
100,0,"StochOptForest
(apx-soln)",no,1.4415829682682695
100,0,"StochOptForest
(apx-soln)",no,1.535367581508914
100,0,"StochOptForest
(apx-soln)",no,1.5444858472243839
100,0,"StochOptForest
(apx-soln)",no,1.9391685606805182
100,0,"StochOptForest
(apx-soln)",no,1.6739066953048305
100,0,"StochOptForest
(apx-soln)",no,1.8868723695331964
100,0,"StochOptForest
(apx-soln)",no,1.5791814763212084
100,0,"StochOptForest
(apx-soln)",no,1.4703563057322202
100,0,"StochOptForest
(apx-soln)",no,1.6220948988451764
100,0,"StochOptForest
(apx-soln)",no,1.622477191280602
100,0,"StochOptForest
(apx-soln)",no,1.5278207961043382
100,0,"StochOptForest
(apx-soln)",no,1.6170655870346264
100,0,"StochOptForest
(apx-soln)",no,1.461143079491057
100,0,"StochOptForest
(apx-soln)",no,1.5922846746219264
100,0,"StochOptForest
(apx-soln)",no,1.520162196311206
100,0,"StochOptForest
(apx-soln)",no,1.560273442283506
100,0,"StochOptForest
(apx-soln)",no,1.5212312647460209
100,0,"StochOptForest
(apx-soln)",no,1.4901464278890728
100,0,"StochOptForest
(apx-soln)",no,1.4363021544927754
100,0,"StochOptForest
(apx-soln)",no,1.5309423623839544
100,0,"StochOptForest
(apx-soln)",no,1.4853645892986074
100,0,"StochOptForest
(apx-soln)",no,1.501979886949744
100,0,"StochOptForest
(apx-soln)",no,1.4914522080817978
100,0,"StochOptForest
(apx-soln)",no,1.6478816496684963
100,0,"StochOptForest
(apx-soln)",no,1.4567851354513095
100,0,"StochOptForest
(apx-soln)",no,1.711347871866386
100,0,"StochOptForest
(apx-soln)",no,1.4455352197908384
100,0,"StochOptForest
(apx-soln)",no,1.4878836204995185
100,0,"StochOptForest
(apx-soln)",no,1.3937900611413496
100,0,"StochOptForest
(apx-soln)",no,1.7004963038678123
100,0,"StochOptForest
(apx-soln)",no,1.5196237108631339
100,0,"StochOptForest
(apx-soln)",no,1.4976902387351607
100,0,"StochOptForest
(apx-soln)",no,1.6177454597068817
100,0,"StochOptForest
(apx-risk)",yes,1.5382829250564314
100,0,"StochOptForest
(apx-risk)",yes,1.4392624476277047
100,0,"StochOptForest
(apx-risk)",yes,1.4936215042891416
100,0,"StochOptForest
(apx-risk)",yes,1.461505990435461
100,0,"StochOptForest
(apx-risk)",yes,1.5551659601559606
100,0,"StochOptForest
(apx-risk)",yes,1.4719304324866205
100,0,"StochOptForest
(apx-risk)",yes,1.3852812657148506
100,0,"StochOptForest
(apx-risk)",yes,1.4516974899422863
100,0,"StochOptForest
(apx-risk)",yes,1.4620129521112328
100,0,"StochOptForest
(apx-risk)",yes,1.404620585265662
100,0,"StochOptForest
(apx-risk)",yes,1.5875714586118335
100,0,"StochOptForest
(apx-risk)",yes,1.6147896822865457
100,0,"StochOptForest
(apx-risk)",yes,1.4831667788947944
100,0,"StochOptForest
(apx-risk)",yes,1.4286968057749467
100,0,"StochOptForest
(apx-risk)",yes,1.5443444066295362
100,0,"StochOptForest
(apx-risk)",yes,1.573359386041913
100,0,"StochOptForest
(apx-risk)",yes,1.630453710527104
100,0,"StochOptForest
(apx-risk)",yes,1.290551576843071
100,0,"StochOptForest
(apx-risk)",yes,1.526724860606393
100,0,"StochOptForest
(apx-risk)",yes,1.4927754841010956
100,0,"StochOptForest
(apx-risk)",yes,1.9578738117486902
100,0,"StochOptForest
(apx-risk)",yes,1.567993917923353
100,0,"StochOptForest
(apx-risk)",yes,1.8593374688243927
100,0,"StochOptForest
(apx-risk)",yes,1.5681461261527334
100,0,"StochOptForest
(apx-risk)",yes,1.5248611876148646
100,0,"StochOptForest
(apx-risk)",yes,1.4479227345763614
100,0,"StochOptForest
(apx-risk)",yes,1.47398107454393
100,0,"StochOptForest
(apx-risk)",yes,1.5619336688294574
100,0,"StochOptForest
(apx-risk)",yes,1.6208927145904484
100,0,"StochOptForest
(apx-risk)",yes,1.457069648392641
100,0,"StochOptForest
(apx-risk)",yes,1.5561157853533933
