n,obj_coef,Method,Constraint,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,2.6077803053455706
100,0,"StochOptForest
(apx-soln)",yes,2.348545248327585
100,0,"StochOptForest
(apx-soln)",yes,2.35662433816873
100,0,"StochOptForest
(apx-soln)",yes,2.7871667855975653
100,0,"StochOptForest
(apx-soln)",yes,2.374496711279524
100,0,"StochOptForest
(apx-soln)",yes,2.509741246523418
100,0,"StochOptForest
(apx-soln)",yes,2.5482000050746327
100,0,"StochOptForest
(apx-soln)",yes,3.1129240910422147
100,0,"StochOptForest
(apx-soln)",yes,2.603725855069035
100,0,"StochOptForest
(apx-soln)",yes,2.6760655451447195
100,0,"StochOptForest
(apx-soln)",yes,2.8486778857013992
100,0,"StochOptForest
(apx-soln)",yes,2.687942338616206
100,0,"StochOptForest
(apx-soln)",yes,2.7534725231833748
100,0,"StochOptForest
(apx-soln)",yes,2.650633256257769
100,0,"StochOptForest
(apx-soln)",yes,2.558086699406272
100,0,"StochOptForest
(apx-soln)",yes,2.8579502056525934
100,0,"StochOptForest
(apx-soln)",yes,2.2766923108223422
100,0,"StochOptForest
(apx-soln)",yes,2.5208577662673006
100,0,"StochOptForest
(apx-soln)",yes,2.683080888857758
100,0,"StochOptForest
(apx-soln)",yes,2.2726502263792323
100,0,"StochOptForest
(apx-soln)",yes,2.8959525279336438
100,0,"StochOptForest
(apx-soln)",yes,3.1747298607145193
100,0,"StochOptForest
(apx-soln)",yes,2.996051176998826
100,0,"StochOptForest
(apx-soln)",yes,3.0229243027336183
100,0,"StochOptForest
(apx-soln)",yes,2.8740776154589094
100,0,"StochOptForest
(apx-soln)",yes,3.1403820520887873
100,0,"StochOptForest
(apx-soln)",yes,3.2432168647299373
100,0,"StochOptForest
(apx-soln)",yes,2.614840618190563
100,0,"StochOptForest
(apx-soln)",yes,2.9345639170004305
100,0,"StochOptForest
(apx-soln)",yes,2.6943282371541297
100,0,"StochOptForest
(apx-soln)",yes,2.4570452380119843
100,0,"StochOptForest
(apx-soln)",yes,2.679488986240557
100,0,"StochOptForest
(apx-soln)",yes,2.5614662869693143
100,0,"StochOptForest
(apx-soln)",yes,2.5812886163804665
100,0,"StochOptForest
(apx-soln)",yes,2.423481302818998
100,0,"StochOptForest
(apx-soln)",yes,2.773552790387328
100,0,"StochOptForest
(apx-soln)",yes,2.8242579202916853
100,0,"StochOptForest
(apx-soln)",yes,3.0904538017364374
100,0,"StochOptForest
(apx-soln)",yes,2.3848933022992007
100,0,"StochOptForest
(apx-soln)",yes,2.214038997362677
100,0,"StochOptForest
(apx-soln)",yes,2.349750519020287
100,0,"StochOptForest
(apx-soln)",yes,2.823265281535259
100,0,"StochOptForest
(apx-soln)",yes,2.378132000036428
100,0,"StochOptForest
(apx-soln)",yes,2.663033378852968
100,0,"StochOptForest
(apx-soln)",yes,2.636741584194913
100,0,"StochOptForest
(apx-soln)",yes,2.7599031816386796
100,0,"StochOptForest
(apx-soln)",yes,2.6878387017590772
100,0,"StochOptForest
(apx-soln)",yes,2.9949020180980694
100,0,"StochOptForest
(apx-soln)",yes,2.264697033413919
100,0,"StochOptForest
(apx-soln)",yes,2.859816531301079
100,0,"StochOptForest
(apx-soln)",no,2.6797475071650516
100,0,"StochOptForest
(apx-soln)",no,2.443096921798425
100,0,"StochOptForest
(apx-soln)",no,2.5660460004571526
100,0,"StochOptForest
(apx-soln)",no,2.7735231924754453
100,0,"StochOptForest
(apx-soln)",no,2.5418033495117136
100,0,"StochOptForest
(apx-soln)",no,2.596136503810816
