n,obj_coef,Method,Constraint,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,2.6449394533566846
100,0,"StochOptForest
(apx-soln)",yes,2.790171297047374
100,0,"StochOptForest
(apx-soln)",yes,2.422750192986375
100,0,"StochOptForest
(apx-soln)",yes,2.7482357511876363
100,0,"StochOptForest
(apx-soln)",yes,2.4599158254931566
100,0,"StochOptForest
(apx-soln)",yes,2.6661790588094503
100,0,"StochOptForest
(apx-soln)",yes,3.1000895775822195
100,0,"StochOptForest
(apx-soln)",yes,2.3626069224856816
100,0,"StochOptForest
(apx-soln)",yes,2.9681773590773317
100,0,"StochOptForest
(apx-soln)",yes,3.1030993859347253
100,0,"StochOptForest
(apx-soln)",yes,2.5814986617984683
100,0,"StochOptForest
(apx-soln)",yes,2.8390545005646737
100,0,"StochOptForest
(apx-soln)",yes,3.0318000449281626
100,0,"StochOptForest
(apx-soln)",yes,3.0539258348510905
100,0,"StochOptForest
(apx-soln)",yes,3.245468820899389
100,0,"StochOptForest
(apx-soln)",yes,2.6676281288969
100,0,"StochOptForest
(apx-soln)",yes,2.431705353661929
100,0,"StochOptForest
(apx-soln)",yes,2.5601033593087563
100,0,"StochOptForest
(apx-soln)",yes,2.214795568040679
100,0,"StochOptForest
(apx-soln)",yes,2.6630919512074884
100,0,"StochOptForest
(apx-soln)",yes,3.169717010034655
100,0,"StochOptForest
(apx-soln)",yes,2.795777374557186
100,0,"StochOptForest
(apx-soln)",yes,2.74168892515335
100,0,"StochOptForest
(apx-soln)",yes,2.928240556461928
100,0,"StochOptForest
(apx-soln)",yes,2.7748130994133255
100,0,"StochOptForest
(apx-soln)",yes,2.624722627302923
100,0,"StochOptForest
(apx-soln)",yes,3.0773637893300507
100,0,"StochOptForest
(apx-soln)",yes,2.4341302011728576
100,0,"StochOptForest
(apx-soln)",yes,2.373657722415725
100,0,"StochOptForest
(apx-soln)",yes,2.6925718432038797
100,0,"StochOptForest
(apx-soln)",yes,3.0719277247885777
100,0,"StochOptForest
(apx-soln)",yes,2.6881935568072475
100,0,"StochOptForest
(apx-soln)",yes,2.810991746562638
100,0,"StochOptForest
(apx-soln)",yes,2.79075807511374
100,0,"StochOptForest
(apx-soln)",yes,2.874465518694004
100,0,"StochOptForest
(apx-soln)",yes,3.807292812008218
100,0,"StochOptForest
(apx-soln)",yes,2.544137103867214
100,0,"StochOptForest
(apx-soln)",yes,2.829856455461707
100,0,"StochOptForest
(apx-soln)",yes,2.330939192405953
100,0,"StochOptForest
(apx-soln)",yes,2.561402839796995
100,0,"StochOptForest
(apx-soln)",yes,2.616855425017643
100,0,"StochOptForest
(apx-soln)",yes,2.592550328230827
100,0,"StochOptForest
(apx-soln)",yes,2.678990351517276
100,0,"StochOptForest
(apx-soln)",yes,2.588694767723685
100,0,"StochOptForest
(apx-soln)",yes,2.637554868049863
100,0,"StochOptForest
(apx-soln)",yes,2.7351852343134913
100,0,"StochOptForest
(apx-soln)",yes,2.590486920716969
100,0,"StochOptForest
(apx-soln)",yes,2.487640346621089
100,0,"StochOptForest
(apx-soln)",yes,3.1793656213751107
100,0,"StochOptForest
(apx-soln)",yes,2.794084036813506
100,0,"StochOptForest
(apx-soln)",no,2.680118630644009
100,0,"StochOptForest
(apx-soln)",no,2.8546665907757673
100,0,"StochOptForest
(apx-soln)",no,2.3921529459833346
100,0,"StochOptForest
(apx-soln)",no,2.7819953101289627
100,0,"StochOptForest
(apx-soln)",no,2.478589854430617
100,0,"StochOptForest
(apx-soln)",no,2.648499920989332
100,0,"StochOptForest
(apx-soln)",no,3.314831068990481
100,0,"StochOptForest
(apx-soln)",no,2.333092724558683
100,0,"StochOptForest
(apx-soln)",no,3.0513157394958244
100,0,"StochOptForest
(apx-soln)",no,3.185953500593017
100,0,"StochOptForest
(apx-soln)",no,2.608942474757995
100,0,"StochOptForest
(apx-soln)",no,2.9336247520068803
100,0,"StochOptForest
(apx-soln)",no,3.3078666632551696
100,0,"StochOptForest
(apx-soln)",no,3.0727519679259836
100,0,"StochOptForest
(apx-soln)",no,3.203991036842024
100,0,"StochOptForest
(apx-soln)",no,2.7067760662608937
100,0,"StochOptForest
(apx-soln)",no,2.472947645553584
100,0,"StochOptForest
(apx-soln)",no,2.537320223205978
100,0,"StochOptForest
(apx-soln)",no,2.3826085545443365
100,0,"StochOptForest
(apx-soln)",no,2.7579752611522483
100,0,"StochOptForest
(apx-soln)",no,3.168003924481882
100,0,"StochOptForest
(apx-soln)",no,2.939454991053834
100,0,"StochOptForest
(apx-soln)",no,2.979952971856361
100,0,"StochOptForest
(apx-soln)",no,2.930929767948098
100,0,"StochOptForest
(apx-soln)",no,2.9385232499070097
100,0,"StochOptForest
(apx-soln)",no,2.6594377068958153
100,0,"StochOptForest
(apx-soln)",no,3.25731190379362
100,0,"StochOptForest
(apx-soln)",no,2.7235067571041913
100,0,"StochOptForest
(apx-soln)",no,2.4826829432585313
100,0,"StochOptForest
(apx-soln)",no,3.066604538717803
100,0,"StochOptForest
(apx-soln)",no,3.053385912342293
100,0,"StochOptForest
(apx-soln)",no,2.7136344521540248
100,0,"StochOptForest
(apx-soln)",no,2.925202977424179
100,0,"StochOptForest
(apx-soln)",no,2.960207678623341
100,0,"StochOptForest
(apx-soln)",no,2.8440551605944373
100,0,"StochOptForest
(apx-soln)",no,4.065952975887841
100,0,"StochOptForest
(apx-soln)",no,2.6414658742366504
100,0,"StochOptForest
(apx-soln)",no,2.842073114221278
100,0,"StochOptForest
(apx-soln)",no,2.5134108362337066
100,0,"StochOptForest
(apx-soln)",no,2.431940527260257
100,0,"StochOptForest
(apx-soln)",no,3.050175545694767
100,0,"StochOptForest
(apx-soln)",no,2.7304529372143413
100,0,"StochOptForest
(apx-soln)",no,3.0652139647366674
100,0,"StochOptForest
(apx-soln)",no,2.761565999612802
100,0,"StochOptForest
(apx-soln)",no,2.5345022977432574
100,0,"StochOptForest
(apx-soln)",no,2.7047525794570366
100,0,"StochOptForest
(apx-soln)",no,2.914572927837904
100,0,"StochOptForest
(apx-soln)",no,2.540566038662136
