n,R,Method,Constraint,abs_risk
100,0.5,"StochOptForest
(apx-soln)",yes,4.217106870565026
100,0.5,"StochOptForest
(apx-soln)",yes,4.144439070025483
100,0.5,"StochOptForest
(apx-soln)",yes,4.665191759614107
100,0.5,"StochOptForest
(apx-soln)",yes,4.350481112418379
100,0.5,"StochOptForest
(apx-soln)",yes,4.875292598194084
100,0.5,"StochOptForest
(apx-soln)",yes,4.889431840450021
100,0.5,"StochOptForest
(apx-soln)",yes,3.887269396812181
100,0.5,"StochOptForest
(apx-soln)",yes,5.6671240178211155
100,0.5,"StochOptForest
(apx-soln)",yes,4.059853231188594
100,0.5,"StochOptForest
(apx-soln)",yes,3.7401663072524793
100,0.5,"StochOptForest
(apx-soln)",yes,4.727550443870083
100,0.5,"StochOptForest
(apx-soln)",yes,5.004426183574669
100,0.5,"StochOptForest
(apx-soln)",yes,4.716443038243805
100,0.5,"StochOptForest
(apx-soln)",yes,3.90471726744834
100,0.5,"StochOptForest
(apx-soln)",yes,4.436528268615508
100,0.5,"StochOptForest
(apx-soln)",yes,5.271404858845025
100,0.5,"StochOptForest
(apx-soln)",yes,2.9206700925841296
100,0.5,"StochOptForest
(apx-soln)",yes,4.6377570235631325
100,0.5,"StochOptForest
(apx-soln)",yes,3.8314730991637536
100,0.5,"StochOptForest
(apx-soln)",yes,5.357644578436123
100,0.5,"StochOptForest
(apx-soln)",yes,3.5860770342696355
100,0.5,"StochOptForest
(apx-soln)",yes,4.135940597787635
100,0.5,"StochOptForest
(apx-soln)",yes,4.184558549935328
100,0.5,"StochOptForest
(apx-soln)",yes,3.862952113185139
100,0.5,"StochOptForest
(apx-soln)",yes,4.364953075953009
100,0.5,"StochOptForest
(apx-soln)",yes,4.723840458852825
100,0.5,"StochOptForest
(apx-soln)",yes,3.5657518392121546
100,0.5,"StochOptForest
(apx-soln)",yes,7.5341081576536
100,0.5,"StochOptForest
(apx-soln)",yes,6.133410708961652
100,0.5,"StochOptForest
(apx-soln)",yes,4.782884521577261
100,0.5,"StochOptForest
(apx-soln)",yes,5.685257919425858
100,0.5,"StochOptForest
(apx-soln)",yes,4.608818117884429
100,0.5,"StochOptForest
(apx-soln)",yes,3.5446995545143283
