n,R,Method,Constraint,violation
100,0.5,"StochOptForest
(apx-soln)",yes,0.2417055215902758
100,0.5,"StochOptForest
(apx-soln)",yes,0.33028319285549257
100,0.5,"StochOptForest
(apx-soln)",yes,0.21575215293827033
100,0.5,"StochOptForest
(apx-soln)",yes,0.2643277324418733
100,0.5,"StochOptForest
(apx-soln)",yes,0.1614033526803878
100,0.5,"StochOptForest
(apx-soln)",yes,0.19288601795193439
100,0.5,"StochOptForest
(apx-soln)",yes,0.26597503190575583
100,0.5,"StochOptForest
(apx-soln)",yes,0.40917971547322524
100,0.5,"StochOptForest
(apx-soln)",yes,0.3607634111086408
100,0.5,"StochOptForest
(apx-soln)",yes,0.23933246836338548
100,0.5,"StochOptForest
(apx-soln)",yes,0.27098142251957297
100,0.5,"StochOptForest
(apx-soln)",yes,0.17665558049629315
100,0.5,"StochOptForest
(apx-soln)",yes,0.262629921840771
100,0.5,"StochOptForest
(apx-soln)",yes,0.29504716543305287
100,0.5,"StochOptForest
(apx-soln)",yes,0.3231414694612708
100,0.5,"StochOptForest
(apx-soln)",yes,0.19526616930586202
100,0.5,"StochOptForest
(apx-soln)",yes,0.3483439223604597
100,0.5,"StochOptForest
(apx-soln)",yes,0.2538997856048363
100,0.5,"StochOptForest
(apx-soln)",yes,0.21409188488911166
100,0.5,"StochOptForest
(apx-soln)",yes,0.16577075954137815
100,0.5,"StochOptForest
(apx-soln)",yes,0.20981441489886715
100,0.5,"StochOptForest
(apx-soln)",yes,0.32020296117825203
100,0.5,"StochOptForest
(apx-soln)",yes,0.3169068533379597
100,0.5,"StochOptForest
(apx-soln)",yes,0.23538426969918977
100,0.5,"StochOptForest
(apx-soln)",yes,0.2719418704974327
100,0.5,"StochOptForest
(apx-soln)",yes,0.21678195155919
100,0.5,"StochOptForest
(apx-soln)",yes,0.18442387326480716
100,0.5,"StochOptForest
(apx-soln)",yes,0.22535341672815545
100,0.5,"StochOptForest
(apx-soln)",yes,0.13568338612747965
100,0.5,"StochOptForest
(apx-soln)",yes,0.31132294793978554
100,0.5,"StochOptForest
(apx-soln)",yes,0.24637248233006306
100,0.5,"StochOptForest
(apx-soln)",yes,0.23563182742906008
100,0.5,"StochOptForest
(apx-soln)",yes,0.3294279919592063
100,0.5,"StochOptForest
(apx-soln)",yes,0.14756965951611611
100,0.5,"StochOptForest
(apx-soln)",yes,0.2664820703463584
100,0.5,"StochOptForest
(apx-soln)",yes,0.2213656679543354
100,0.5,"StochOptForest
(apx-soln)",yes,0.3600450172577611
100,0.5,"StochOptForest
(apx-soln)",yes,0.07053598249748569
100,0.5,"StochOptForest
(apx-soln)",yes,0.15809233196802974
100,0.5,"StochOptForest
(apx-soln)",yes,0.16418396695039938
100,0.5,"StochOptForest
(apx-soln)",yes,0.33944445937185164
100,0.5,"StochOptForest
(apx-soln)",yes,0.23036544352720806
100,0.5,"StochOptForest
(apx-soln)",yes,0.30287157113690294
100,0.5,"StochOptForest
(apx-soln)",yes,0.2254752273591463
100,0.5,"StochOptForest
(apx-soln)",yes,0.26206140707781495
100,0.5,"StochOptForest
(apx-soln)",yes,0.2453490401022163
100,0.5,"StochOptForest
(apx-soln)",yes,0.22251979116880677
100,0.5,"StochOptForest
(apx-soln)",yes,0.22311964498265088
100,0.5,"StochOptForest
(apx-soln)",yes,0.2057136263645274
100,0.5,"StochOptForest
(apx-soln)",yes,0.21555736436015072
100,0.5,"StochOptForest
(apx-soln)",no,0.30382199020170775
100,0.5,"StochOptForest
(apx-soln)",no,0.4182799087919446
100,0.5,"StochOptForest
(apx-soln)",no,0.28196006890919634
100,0.5,"StochOptForest
(apx-soln)",no,0.32366985745016924
100,0.5,"StochOptForest
(apx-soln)",no,0.22571852498483494
100,0.5,"StochOptForest
(apx-soln)",no,0.1358406432563728
100,0.5,"StochOptForest
(apx-soln)",no,0.3057145579922673
100,0.5,"StochOptForest
(apx-soln)",no,0.4983463646817606
100,0.5,"StochOptForest
(apx-soln)",no,0.3297304431295306
100,0.5,"StochOptForest
(apx-soln)",no,0.2915425437406161
100,0.5,"StochOptForest
(apx-soln)",no,0.3436840596447899
100,0.5,"StochOptForest
(apx-soln)",no,0.2325169609899168
100,0.5,"StochOptForest
(apx-soln)",no,0.3135752211734668
