Method,p,Constraint,freq
"StochOptForest
(apx-soln)",1,yes,0.10682983716275388
"StochOptForest
(apx-soln)",2,yes,0.16833149321800822
"StochOptForest
(apx-soln)",3,yes,0.09107013959545414
"StochOptForest
(apx-soln)",4,yes,0.09096189616598718
"StochOptForest
(apx-soln)",5,yes,0.09034186459637113
"StochOptForest
(apx-soln)",6,yes,0.09041615378284211
"StochOptForest
(apx-soln)",7,yes,0.0907651785191277
"StochOptForest
(apx-soln)",8,yes,0.09057631544043687
"StochOptForest
(apx-soln)",9,yes,0.09094629823850262
"StochOptForest
(apx-soln)",10,yes,0.08976082328051949
"StochOptForest
(apx-soln)",1,no,0.055315449618791895
"StochOptForest
(apx-soln)",2,no,0.06940419692893968
"StochOptForest
(apx-soln)",3,no,0.10911167564955929
"StochOptForest
(apx-soln)",4,no,0.1098287447462709
"StochOptForest
(apx-soln)",5,no,0.10929627955650645
"StochOptForest
(apx-soln)",6,no,0.11086125271389977
"StochOptForest
(apx-soln)",7,no,0.10936868641764659
"StochOptForest
(apx-soln)",8,no,0.10961303105217812
"StochOptForest
(apx-soln)",9,no,0.10820730263423826
"StochOptForest
(apx-soln)",10,no,0.10899338068197344
"StochOptForest
(apx-risk)",1,yes,0.18387232596147432
"StochOptForest
(apx-risk)",2,yes,0.16453572213032291
"StochOptForest
(apx-risk)",3,yes,0.08196696135744837
"StochOptForest
(apx-risk)",4,yes,0.08158537424016632
"StochOptForest
(apx-risk)",5,yes,0.08109586734786722
"StochOptForest
(apx-risk)",6,yes,0.0812621541350357
"StochOptForest
(apx-risk)",7,yes,0.080637499326131
"StochOptForest
(apx-risk)",8,yes,0.081976571177338
"StochOptForest
(apx-risk)",9,yes,0.08150074343786871
"StochOptForest
(apx-risk)",10,yes,0.08156678088634976
"StochOptForest
(apx-risk)",1,no,0.1897439696972534
"StochOptForest
(apx-risk)",2,no,0.1532407216354238
"StochOptForest
(apx-risk)",3,no,0.08194619638549147
"StochOptForest
(apx-risk)",4,no,0.08175749778988094
"StochOptForest
(apx-risk)",5,no,0.08202335664734912
"StochOptForest
(apx-risk)",6,no,0.08130082226773405
"StochOptForest
(apx-risk)",7,no,0.08358314872681988
"StochOptForest
(apx-risk)",8,no,0.0838279791780592
"StochOptForest
(apx-risk)",9,no,0.08178137683002068
"StochOptForest
(apx-risk)",10,no,0.08079493084196382
RandSplitForest,1,no,0.10007878994101344
RandSplitForest,2,no,0.09993283154643436
RandSplitForest,3,no,0.0995578177638855
RandSplitForest,4,no,0.099759249508467
RandSplitForest,5,no,0.10011426313697927
RandSplitForest,6,no,0.10000784272296277
RandSplitForest,7,no,0.10000639626221734
RandSplitForest,8,no,0.10033220542440828
RandSplitForest,9,no,0.1006287905318978
RandSplitForest,10,no,0.09958181316172203
RandForest,1,no,0.157871130657607
RandForest,2,no,0.11898651261160856
RandForest,3,no,0.09095347117169719
RandForest,4,no,0.09130607015025945
RandForest,5,no,0.09076956387224343
RandForest,6,no,0.09020070583534874
RandForest,7,no,0.08995832750909
RandForest,8,no,0.08932693864026157
RandForest,9,no,0.09062845770859658
RandForest,10,no,0.08999882184328556
