Method,p,Constraint,freq
"StochOptForest
(apx-soln)",1,yes,0.15319120310664225
"StochOptForest
(apx-soln)",2,yes,0.2020647328881861
"StochOptForest
(apx-soln)",3,yes,0.08145269861746848
"StochOptForest
(apx-soln)",4,yes,0.078265129255282
"StochOptForest
(apx-soln)",5,yes,0.08066344896998233
"StochOptForest
(apx-soln)",6,yes,0.07864831251206615
"StochOptForest
(apx-soln)",7,yes,0.08014277825079487
"StochOptForest
(apx-soln)",8,yes,0.08440642267985637
"StochOptForest
(apx-soln)",9,yes,0.08139888923969224
"StochOptForest
(apx-soln)",10,yes,0.07976638448002887
"StochOptForest
(apx-soln)",1,no,0.05486355210351915
"StochOptForest
(apx-soln)",2,no,0.06996413366942095
"StochOptForest
(apx-soln)",3,no,0.10798747836038808
"StochOptForest
(apx-soln)",4,no,0.10864634497972415
"StochOptForest
(apx-soln)",5,no,0.10632620188541463
"StochOptForest
(apx-soln)",6,no,0.10978046071232071
"StochOptForest
(apx-soln)",7,no,0.11223233654964339
"StochOptForest
(apx-soln)",8,no,0.11207033816407605
"StochOptForest
(apx-soln)",9,no,0.10985992804260061
"StochOptForest
(apx-soln)",10,no,0.10826922553289144
"StochOptForest
(apx-risk)",1,yes,0.2058995671574812
"StochOptForest
(apx-risk)",2,yes,0.197936533286545
"StochOptForest
(apx-risk)",3,yes,0.0752933348506378
"StochOptForest
(apx-risk)",4,yes,0.07284782288932817
"StochOptForest
(apx-risk)",5,yes,0.07187309275439865
"StochOptForest
(apx-risk)",6,yes,0.07328084065418769
"StochOptForest
(apx-risk)",7,yes,0.07447016205900399
"StochOptForest
(apx-risk)",8,yes,0.07809475690219257
"StochOptForest
(apx-risk)",9,yes,0.07535119608156696
"StochOptForest
(apx-risk)",10,yes,0.07495269336465722
"StochOptForest
(apx-risk)",1,no,0.2075243473037956
"StochOptForest
(apx-risk)",2,no,0.19615532492468699
"StochOptForest
(apx-risk)",3,no,0.07412530046120025
"StochOptForest
(apx-risk)",4,no,0.07371420368817033
"StochOptForest
(apx-risk)",5,no,0.0742039477897662
"StochOptForest
(apx-risk)",6,no,0.07207938512700457
"StochOptForest
(apx-risk)",7,no,0.07271225545740612
"StochOptForest
(apx-risk)",8,no,0.07529929583598034
"StochOptForest
(apx-risk)",9,no,0.07791429590143999
"StochOptForest
(apx-risk)",10,no,0.07627164351054926
RandForest,1,no,0.17891432175316468
RandForest,2,no,0.11382094760274258
RandForest,3,no,0.0922329992856153
RandForest,4,no,0.08972970966464924
RandForest,5,no,0.08882683833549765
RandForest,6,no,0.08700766296514435
RandForest,7,no,0.09151800483364825
RandForest,8,no,0.08505759931072354
RandForest,9,no,0.0824061798282438
RandForest,10,no,0.09048573642056955
"StochOptForest
(oracle)",1,yes,0.1773497288627402
"StochOptForest
(oracle)",2,yes,0.20052965217254892
"StochOptForest
(oracle)",3,yes,0.07737596074925764
"StochOptForest
(oracle)",4,yes,0.07798729167663589
"StochOptForest
(oracle)",5,yes,0.07681995538627781
"StochOptForest
(oracle)",6,yes,0.07315713461641354
"StochOptForest
(oracle)",7,yes,0.07535445588130629
"StochOptForest
(oracle)",8,yes,0.0827537237153022
"StochOptForest
(oracle)",9,yes,0.07844437414222388
"StochOptForest
(oracle)",10,yes,0.08022772279729307
