Method,p,Constraint,freq
"StochOptForest
(apx-soln)",1,yes,0.22536024185925851
"StochOptForest
(apx-soln)",2,yes,0.20201784886537968
"StochOptForest
(apx-soln)",3,yes,0.07209899226196452
"StochOptForest
(apx-soln)",4,yes,0.0700834420101351
"StochOptForest
(apx-soln)",5,yes,0.07037159560611844
"StochOptForest
(apx-soln)",6,yes,0.06855424342805233
"StochOptForest
(apx-soln)",7,yes,0.07250858323937605
"StochOptForest
(apx-soln)",8,yes,0.07437847979651073
"StochOptForest
(apx-soln)",9,yes,0.0723020842941162
"StochOptForest
(apx-soln)",10,yes,0.07232448863908808
"StochOptForest
(apx-soln)",1,no,0.05350153996416246
"StochOptForest
(apx-soln)",2,no,0.07195800477255869
"StochOptForest
(apx-soln)",3,no,0.11135997668320562
"StochOptForest
(apx-soln)",4,no,0.10754462808537676
"StochOptForest
(apx-soln)",5,no,0.11184710975139862
"StochOptForest
(apx-soln)",6,no,0.10939557945253747
"StochOptForest
(apx-soln)",7,no,0.10590436233295143
"StochOptForest
(apx-soln)",8,no,0.10733836450674175
"StochOptForest
(apx-soln)",9,no,0.11116622297398436
"StochOptForest
(apx-soln)",10,no,0.10998421147708269
"StochOptForest
(apx-risk)",1,yes,0.23589676174554317
"StochOptForest
(apx-risk)",2,yes,0.1946405468987452
"StochOptForest
(apx-risk)",3,yes,0.07057744917723668
"StochOptForest
(apx-risk)",4,yes,0.07015628624836612
"StochOptForest
(apx-risk)",5,yes,0.06743476569808689
"StochOptForest
(apx-risk)",6,yes,0.06947465556697989
"StochOptForest
(apx-risk)",7,yes,0.07107206636439725
"StochOptForest
(apx-risk)",8,yes,0.07351355728333185
"StochOptForest
(apx-risk)",9,yes,0.07457710644514315
"StochOptForest
(apx-risk)",10,yes,0.07265680457216935
"StochOptForest
(apx-risk)",1,no,0.21671365466600065
"StochOptForest
(apx-risk)",2,no,0.19311992177468507
"StochOptForest
(apx-risk)",3,no,0.0727519065292705
"StochOptForest
(apx-risk)",4,no,0.07355336260275457
"StochOptForest
(apx-risk)",5,no,0.07321503298716368
"StochOptForest
(apx-risk)",6,no,0.0712383507787897
"StochOptForest
(apx-risk)",7,no,0.07390279304936768
"StochOptForest
(apx-risk)",8,no,0.07510430587636739
"StochOptForest
(apx-risk)",9,no,0.07390739799083601
"StochOptForest
(apx-risk)",10,no,0.07649327374476417
RandForest,1,no,0.18178319874245172
RandForest,2,no,0.11285841958225491
RandForest,3,no,0.08639459473870344
RandForest,4,no,0.08861720775285367
RandForest,5,no,0.09081798928940357
RandForest,6,no,0.08920016527555992
RandForest,7,no,0.09023476937241287
RandForest,8,no,0.08732244537051535
RandForest,9,no,0.08727206138246975
RandForest,10,no,0.08549914849337391
"StochOptForest
(oracle)",1,yes,0.23819149961863326
"StochOptForest
(oracle)",2,yes,0.19632960925523615
"StochOptForest
(oracle)",3,yes,0.07036591507442246
"StochOptForest
(oracle)",4,yes,0.07089852273033183
"StochOptForest
(oracle)",5,yes,0.07088376081305103
"StochOptForest
(oracle)",6,yes,0.0681084017593458
"StochOptForest
(oracle)",7,yes,0.06985237578330247
"StochOptForest
(oracle)",8,yes,0.07189932551812939
"StochOptForest
(oracle)",9,yes,0.07224581386237132
"StochOptForest
(oracle)",10,yes,0.07122477558517593
