n,R,Method,Constraint,violation
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.06704052989406539
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.24666020021660784
100,0.5,"StochOptForest
(apx-soln)",yes,0.06052069816298267
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.035649780771049105
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.04934138354030018
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.020624475205714105
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.06529681648095173
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.02447103054078371
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",yes,0.0
100,0.5,"StochOptForest
(apx-soln)",no,0.0
100,0.5,"StochOptForest
(apx-soln)",no,0.1704591608078995
100,0.5,"StochOptForest
(apx-soln)",no,0.0
100,0.5,"StochOptForest
(apx-soln)",no,0.0
