n,R,Method,Constraint,rel_risk
100,0.5,"StochOptForest
(apx-soln)",yes,1.8790589309813155
100,0.5,"StochOptForest
(apx-soln)",yes,1.8029027858978979
100,0.5,"StochOptForest
(apx-soln)",yes,1.8856035081918687
100,0.5,"StochOptForest
(apx-soln)",yes,2.2124041501274023
100,0.5,"StochOptForest
(apx-soln)",yes,1.5326909981313213
100,0.5,"StochOptForest
(apx-soln)",yes,1.446057595362489
100,0.5,"StochOptForest
(apx-soln)",yes,1.8197095180154734
100,0.5,"StochOptForest
(apx-soln)",yes,3.8973052229179355
100,0.5,"StochOptForest
(apx-soln)",yes,2.2505296417785163
100,0.5,"StochOptForest
(apx-soln)",yes,1.7993353279269169
100,0.5,"StochOptForest
(apx-soln)",yes,2.0045130105999616
100,0.5,"StochOptForest
(apx-soln)",yes,1.7291288511959162
100,0.5,"StochOptForest
(apx-soln)",yes,2.1867344583932153
100,0.5,"StochOptForest
(apx-soln)",yes,1.9015972751848398
100,0.5,"StochOptForest
(apx-soln)",yes,2.018861862208333
100,0.5,"StochOptForest
(apx-soln)",yes,2.3210603315627054
100,0.5,"StochOptForest
(apx-soln)",yes,1.567070746072003
100,0.5,"StochOptForest
(apx-soln)",yes,1.7249293043781513
100,0.5,"StochOptForest
(apx-soln)",yes,1.4044390096987
100,0.5,"StochOptForest
(apx-soln)",yes,1.942867342715226
100,0.5,"StochOptForest
(apx-soln)",yes,1.5056100119398237
100,0.5,"StochOptForest
(apx-soln)",yes,2.2477391985938597
100,0.5,"StochOptForest
(apx-soln)",yes,2.2856570437608967
100,0.5,"StochOptForest
(apx-soln)",yes,1.8466879720422429
100,0.5,"StochOptForest
(apx-soln)",yes,2.26558146489755
100,0.5,"StochOptForest
(apx-soln)",yes,1.6585035323164263
100,0.5,"StochOptForest
(apx-soln)",yes,1.6806943234128235
100,0.5,"StochOptForest
(apx-soln)",yes,2.086669574543432
100,0.5,"StochOptForest
(apx-soln)",yes,1.330892712157207
100,0.5,"StochOptForest
(apx-soln)",yes,2.273861902988066
100,0.5,"StochOptForest
(apx-soln)",yes,2.0058169431080892
100,0.5,"StochOptForest
(apx-soln)",yes,1.8782668819911572
100,0.5,"StochOptForest
(apx-soln)",yes,2.3426958801821915
