R,Method,Constraint,rel_risk,n
0.1,"StochOptForest
(apx-soln)",yes,1.1707583080432784,400
0.1,"StochOptForest
(apx-soln)",yes,2.0128143722205682,400
0.1,"StochOptForest
(apx-soln)",yes,1.4847713826710642,400
0.1,"StochOptForest
(apx-soln)",yes,1.4782143645171912,400
0.1,"StochOptForest
(apx-soln)",yes,1.5951936059868566,400
0.1,"StochOptForest
(apx-soln)",yes,1.27828721350669,400
0.1,"StochOptForest
(apx-soln)",yes,1.3805738477337006,400
0.1,"StochOptForest
(apx-soln)",yes,1.2510968228360368,400
0.1,"StochOptForest
(apx-soln)",yes,1.5723825183815066,400
0.1,"StochOptForest
(apx-soln)",yes,1.4909010840527415,400
0.1,"StochOptForest
(apx-soln)",yes,1.3899458042708075,400
0.1,"StochOptForest
(apx-soln)",yes,1.3688246105795778,400
0.1,"StochOptForest
(apx-soln)",yes,1.4832621727053776,400
0.1,"StochOptForest
(apx-soln)",yes,1.584798711741701,400
0.1,"StochOptForest
(apx-soln)",yes,1.2959906654827684,400
0.1,"StochOptForest
(apx-soln)",yes,2.1831359015525056,400
0.1,"StochOptForest
(apx-soln)",yes,1.5175258100532505,400
0.1,"StochOptForest
(apx-soln)",yes,1.2269353540633865,400
0.1,"StochOptForest
(apx-soln)",yes,1.1403999803745999,400
0.1,"StochOptForest
(apx-soln)",yes,1.17770571362161,400
0.1,"StochOptForest
(apx-soln)",yes,1.1938519712300835,400
0.1,"StochOptForest
(apx-soln)",yes,1.3825334689199684,400
0.1,"StochOptForest
(apx-soln)",yes,1.3288927714785865,400
0.1,"StochOptForest
(apx-soln)",yes,1.3731574938130557,400
0.1,"StochOptForest
(apx-soln)",yes,1.260378774387605,400
0.1,"StochOptForest
(apx-soln)",yes,1.2930896210353502,400
0.1,"StochOptForest
(apx-soln)",yes,1.30345863520381,400
0.1,"StochOptForest
(apx-soln)",yes,1.3508214357661534,400
0.1,"StochOptForest
(apx-soln)",yes,1.1676671591696004,400
0.1,"StochOptForest
(apx-soln)",yes,1.5932072325746454,400
0.1,"StochOptForest
(apx-soln)",yes,1.2070015856136513,400
0.1,"StochOptForest
(apx-soln)",yes,1.1421671227207892,400
0.1,"StochOptForest
(apx-soln)",yes,1.4009335129948879,400
0.1,"StochOptForest
(apx-soln)",yes,1.4588167624759851,400
0.1,"StochOptForest
(apx-soln)",yes,1.261669582121433,400
0.1,"StochOptForest
(apx-soln)",yes,1.3812000675265774,400
0.1,"StochOptForest
(apx-soln)",yes,1.3840656886715732,400
0.1,"StochOptForest
(apx-soln)",yes,1.1675894928097987,400
0.1,"StochOptForest
(apx-soln)",yes,1.1828605159374768,400
0.1,"StochOptForest
(apx-soln)",yes,1.2360576812196382,400
0.1,"StochOptForest
(apx-soln)",yes,1.8108697091911208,400
0.1,"StochOptForest
(apx-soln)",yes,1.3309894499609987,400
0.1,"StochOptForest
(apx-soln)",yes,1.2146942845827782,400
0.1,"StochOptForest
(apx-soln)",yes,1.5154844962493454,400
0.1,"StochOptForest
(apx-soln)",yes,1.497294487026265,400
0.1,"StochOptForest
(apx-soln)",yes,1.44725100917126,400
0.1,"StochOptForest
(apx-soln)",yes,1.282081282503839,400
