n,R,Method,Constraint,rel_risk
100,0.1,"StochOptForest
(apx-soln)",yes,3.2039475472797863
100,0.1,"StochOptForest
(apx-soln)",yes,2.7496906297558907
100,0.1,"StochOptForest
(apx-soln)",yes,2.2633161393025523
100,0.1,"StochOptForest
(apx-soln)",yes,3.4397533349048897
100,0.1,"StochOptForest
(apx-soln)",yes,1.8269159291941994
100,0.1,"StochOptForest
(apx-soln)",yes,1.981526978487765
100,0.1,"StochOptForest
(apx-soln)",yes,2.2459893638298767
100,0.1,"StochOptForest
(apx-soln)",yes,1.9839772112340537
100,0.1,"StochOptForest
(apx-soln)",yes,1.8071772133302793
100,0.1,"StochOptForest
(apx-soln)",yes,2.126955327918824
100,0.1,"StochOptForest
(apx-soln)",yes,1.9334367949398856
100,0.1,"StochOptForest
(apx-soln)",yes,1.8258017736243777
100,0.1,"StochOptForest
(apx-soln)",yes,1.8570689228181996
100,0.1,"StochOptForest
(apx-soln)",yes,1.7122548194496978
100,0.1,"StochOptForest
(apx-soln)",yes,2.1233047071085256
100,0.1,"StochOptForest
(apx-soln)",yes,2.2170780448629213
100,0.1,"StochOptForest
(apx-soln)",yes,2.6792336741202707
100,0.1,"StochOptForest
(apx-soln)",yes,2.7287725964867127
100,0.1,"StochOptForest
(apx-soln)",yes,1.9573633421195396
100,0.1,"StochOptForest
(apx-soln)",yes,1.533911132614575
100,0.1,"StochOptForest
(apx-soln)",yes,2.859731981807428
100,0.1,"StochOptForest
(apx-soln)",yes,1.4274111284001447
100,0.1,"StochOptForest
(apx-soln)",yes,2.157253548495812
100,0.1,"StochOptForest
(apx-soln)",yes,1.5470391721531789
100,0.1,"StochOptForest
(apx-soln)",yes,1.5992335901264152
100,0.1,"StochOptForest
(apx-soln)",yes,2.604250287297393
100,0.1,"StochOptForest
(apx-soln)",yes,2.1037004692573946
100,0.1,"StochOptForest
(apx-soln)",yes,2.4112169024829058
100,0.1,"StochOptForest
(apx-soln)",yes,1.7810409132554064
100,0.1,"StochOptForest
(apx-soln)",yes,1.8761911194767509
100,0.1,"StochOptForest
(apx-soln)",yes,1.4839845197913395
100,0.1,"StochOptForest
(apx-soln)",yes,1.9312379408294047
100,0.1,"StochOptForest
(apx-soln)",yes,2.034241066957313
100,0.1,"StochOptForest
(apx-soln)",yes,2.4058483834746642
100,0.1,"StochOptForest
(apx-soln)",yes,2.323535626517451
100,0.1,"StochOptForest
(apx-soln)",yes,1.715276051837419
100,0.1,"StochOptForest
(apx-soln)",yes,2.020920492584728
100,0.1,"StochOptForest
(apx-soln)",yes,2.5475542839798115
100,0.1,"StochOptForest
(apx-soln)",yes,1.8524417685804961
100,0.1,"StochOptForest
(apx-soln)",yes,1.8012170212307466
100,0.1,"StochOptForest
(apx-soln)",yes,1.9418909844279069
100,0.1,"StochOptForest
(apx-soln)",yes,1.3664560351558983
100,0.1,"StochOptForest
(apx-soln)",yes,1.448663148293034
100,0.1,"StochOptForest
(apx-soln)",yes,2.1042638109947016
100,0.1,"StochOptForest
(apx-soln)",yes,3.1659624047720216
100,0.1,"StochOptForest
(apx-soln)",yes,2.707248798106931
100,0.1,"StochOptForest
(apx-soln)",yes,2.317900602132831
100,0.1,"StochOptForest
(apx-soln)",yes,1.9070454682882771
100,0.1,"StochOptForest
(apx-soln)",yes,2.14912703525774
100,0.1,"StochOptForest
(apx-soln)",yes,2.0944908516737097
100,0.1,"StochOptForest
(apx-soln)",no,4.15888056176141
100,0.1,"StochOptForest
(apx-soln)",no,3.529049423954689
100,0.1,"StochOptForest
(apx-soln)",no,3.9854057256952546
100,0.1,"StochOptForest
(apx-soln)",no,4.317048981374418
100,0.1,"StochOptForest
(apx-soln)",no,2.2698135181026395
100,0.1,"StochOptForest
(apx-soln)",no,2.440197093164759
100,0.1,"StochOptForest
(apx-soln)",no,2.7378498739011192
100,0.1,"StochOptForest
(apx-soln)",no,2.559667870661993
100,0.1,"StochOptForest
(apx-soln)",no,3.216108607560878
100,0.1,"StochOptForest
(apx-soln)",no,2.5494375315596045
100,0.1,"StochOptForest
(apx-soln)",no,2.1607608551811293
100,0.1,"StochOptForest
(apx-soln)",no,3.135369745545271
100,0.1,"StochOptForest
(apx-soln)",no,2.0974000034350087
100,0.1,"StochOptForest
(apx-soln)",no,2.381846291617637
100,0.1,"StochOptForest
(apx-soln)",no,2.7446859899698777
100,0.1,"StochOptForest
(apx-soln)",no,2.676604681465588
100,0.1,"StochOptForest
(apx-soln)",no,3.8087528787163927
100,0.1,"StochOptForest
(apx-soln)",no,2.949796089918538
100,0.1,"StochOptForest
(apx-soln)",no,2.674694391549129
100,0.1,"StochOptForest
(apx-soln)",no,2.7275315223130514
100,0.1,"StochOptForest
(apx-soln)",no,3.302379407310127
100,0.1,"StochOptForest
(apx-soln)",no,2.387703803786319
100,0.1,"StochOptForest
(apx-soln)",no,1.960407019525717
100,0.1,"StochOptForest
(apx-soln)",no,1.9886043922063958
100,0.1,"StochOptForest
(apx-soln)",no,1.8338808207639063
100,0.1,"StochOptForest
(apx-soln)",no,3.667982435325485
100,0.1,"StochOptForest
(apx-soln)",no,2.4380809914796946
100,0.1,"StochOptForest
(apx-soln)",no,3.5269385291572086
100,0.1,"StochOptForest
(apx-soln)",no,2.042090351632209
100,0.1,"StochOptForest
(apx-soln)",no,2.0098488994532473
100,0.1,"StochOptForest
(apx-soln)",no,1.7844314199562414
100,0.1,"StochOptForest
(apx-soln)",no,2.3345314607330594
100,0.1,"StochOptForest
(apx-soln)",no,2.276335230151559
100,0.1,"StochOptForest
(apx-soln)",no,2.7389264233259634
100,0.1,"StochOptForest
(apx-soln)",no,2.9668916936198495
100,0.1,"StochOptForest
(apx-soln)",no,2.2995528804703165
100,0.1,"StochOptForest
(apx-soln)",no,2.5282339140974517
100,0.1,"StochOptForest
(apx-soln)",no,2.874499814332045
100,0.1,"StochOptForest
(apx-soln)",no,2.330744705878724
100,0.1,"StochOptForest
(apx-soln)",no,2.027279639706969
100,0.1,"StochOptForest
(apx-soln)",no,1.9760957287095267
100,0.1,"StochOptForest
(apx-soln)",no,2.106260736732975
100,0.1,"StochOptForest
(apx-soln)",no,1.6850631939144067
100,0.1,"StochOptForest
(apx-soln)",no,2.2539251655796164
100,0.1,"StochOptForest
(apx-soln)",no,4.0734945014717345
100,0.1,"StochOptForest
(apx-soln)",no,3.2052856728034276
100,0.1,"StochOptForest
(apx-soln)",no,2.4007487405751653
100,0.1,"StochOptForest
(apx-soln)",no,2.4360440384560698
100,0.1,"StochOptForest
(apx-soln)",no,2.600176463528555
100,0.1,"StochOptForest
(apx-soln)",no,2.562108050816913
100,0.1,"StochOptForest
(apx-risk)",yes,2.8640099772661696
100,0.1,"StochOptForest
(apx-risk)",yes,2.521870704100483
100,0.1,"StochOptForest
(apx-risk)",yes,1.9278948054797678
100,0.1,"StochOptForest
(apx-risk)",yes,3.351915931145689
100,0.1,"StochOptForest
(apx-risk)",yes,1.7221603691994691
100,0.1,"StochOptForest
(apx-risk)",yes,1.76092259265381
100,0.1,"StochOptForest
(apx-risk)",yes,2.3177997030197255
100,0.1,"StochOptForest
(apx-risk)",yes,1.8616278165517435
100,0.1,"StochOptForest
(apx-risk)",yes,1.8028062877716737
100,0.1,"StochOptForest
(apx-risk)",yes,1.805996586152145
100,0.1,"StochOptForest
(apx-risk)",yes,1.8414862495285222
100,0.1,"StochOptForest
(apx-risk)",yes,1.9595147556769603
100,0.1,"StochOptForest
(apx-risk)",yes,1.915932232039844
100,0.1,"StochOptForest
(apx-risk)",yes,1.539951122191139
