n,obj_coef,Method,Constraint,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,3.5741408476855936
100,0,"StochOptForest
(apx-soln)",yes,4.796174337466301
100,0,"StochOptForest
(apx-soln)",yes,3.193042771645485
100,0,"StochOptForest
(apx-soln)",yes,4.902466413944572
100,0,"StochOptForest
(apx-soln)",yes,3.642597023748533
100,0,"StochOptForest
(apx-soln)",yes,3.5954612204018694
100,0,"StochOptForest
(apx-soln)",yes,3.47412915556995
100,0,"StochOptForest
(apx-soln)",yes,4.397821721605359
100,0,"StochOptForest
(apx-soln)",yes,3.503074352576111
100,0,"StochOptForest
(apx-soln)",yes,3.315270063796319
100,0,"StochOptForest
(apx-soln)",yes,5.226076979774915
100,0,"StochOptForest
(apx-soln)",yes,3.625632065214342
100,0,"StochOptForest
(apx-soln)",yes,5.994232859174726
100,0,"StochOptForest
(apx-soln)",yes,3.1390066587726055
100,0,"StochOptForest
(apx-soln)",yes,4.437281805943069
100,0,"StochOptForest
(apx-soln)",yes,4.249018032500503
100,0,"StochOptForest
(apx-soln)",yes,4.2171264622607385
100,0,"StochOptForest
(apx-soln)",yes,2.4842158510060104
100,0,"StochOptForest
(apx-soln)",yes,3.9816491685590374
100,0,"StochOptForest
(apx-soln)",yes,4.619607858306632
100,0,"StochOptForest
(apx-soln)",yes,4.981391985863551
100,0,"StochOptForest
(apx-soln)",yes,5.307430650926401
100,0,"StochOptForest
(apx-soln)",yes,3.850414047745709
100,0,"StochOptForest
(apx-soln)",yes,2.623838552755041
100,0,"StochOptForest
(apx-soln)",yes,4.054034195547408
100,0,"StochOptForest
(apx-soln)",yes,4.314346759449155
100,0,"StochOptForest
(apx-soln)",yes,3.649377178489697
100,0,"StochOptForest
(apx-soln)",yes,4.557927232558717
100,0,"StochOptForest
(apx-soln)",yes,4.028329656775803
100,0,"StochOptForest
(apx-soln)",yes,4.884008877261436
100,0,"StochOptForest
(apx-soln)",yes,4.555184641859834
100,0,"StochOptForest
(apx-soln)",yes,5.075462101543012
100,0,"StochOptForest
(apx-soln)",yes,3.5879616953538824
100,0,"StochOptForest
(apx-soln)",yes,4.504747237666196
100,0,"StochOptForest
(apx-soln)",yes,3.780364525059191
100,0,"StochOptForest
(apx-soln)",yes,4.792497958063556
100,0,"StochOptForest
(apx-soln)",yes,5.392875781341746
100,0,"StochOptForest
(apx-soln)",yes,4.365953706162029
100,0,"StochOptForest
(apx-soln)",yes,3.9533496142727604
100,0,"StochOptForest
(apx-soln)",yes,4.208854895626971
100,0,"StochOptForest
(apx-soln)",yes,4.302490134389629
100,0,"StochOptForest
(apx-soln)",yes,4.170503415183398
100,0,"StochOptForest
(apx-soln)",yes,3.86932583820173
100,0,"StochOptForest
(apx-soln)",yes,3.2384208021006287
100,0,"StochOptForest
(apx-soln)",yes,3.801067897616786
100,0,"StochOptForest
(apx-soln)",yes,3.727202163690919
100,0,"StochOptForest
(apx-soln)",yes,4.576960219058001
100,0,"StochOptForest
(apx-soln)",yes,2.4542493513998145
100,0,"StochOptForest
(apx-soln)",yes,5.117927380694059
100,0,"StochOptForest
(apx-soln)",yes,4.430542181878688
100,0,"StochOptForest
(apx-soln)",no,5.290295110011505
100,0,"StochOptForest
(apx-soln)",no,5.351907970924712
100,0,"StochOptForest
(apx-soln)",no,4.6243525416933515
100,0,"StochOptForest
(apx-soln)",no,5.406907350575928
100,0,"StochOptForest
(apx-soln)",no,5.0014277470598
100,0,"StochOptForest
(apx-soln)",no,5.722352872707258
100,0,"StochOptForest
(apx-soln)",no,5.236869720973628
100,0,"StochOptForest
(apx-soln)",no,4.992132346537659
100,0,"StochOptForest
(apx-soln)",no,5.214283351515006
100,0,"StochOptForest
(apx-soln)",no,5.304530111867738
100,0,"StochOptForest
(apx-soln)",no,5.352620015066287
100,0,"StochOptForest
(apx-soln)",no,5.158582107886354
100,0,"StochOptForest
(apx-soln)",no,6.119217803785469
100,0,"StochOptForest
(apx-soln)",no,5.327574272703861
100,0,"StochOptForest
(apx-soln)",no,5.245986630704763
100,0,"StochOptForest
(apx-soln)",no,6.29621324475733
100,0,"StochOptForest
(apx-soln)",no,5.368101126147455
100,0,"StochOptForest
(apx-soln)",no,4.773039522160677
100,0,"StochOptForest
(apx-soln)",no,5.376781248092861
100,0,"StochOptForest
(apx-soln)",no,4.965551897049835
100,0,"StochOptForest
(apx-soln)",no,5.956572627740454
100,0,"StochOptForest
(apx-soln)",no,5.548744230645836
100,0,"StochOptForest
(apx-soln)",no,5.044872533204025
100,0,"StochOptForest
(apx-soln)",no,4.929715715225553
100,0,"StochOptForest
(apx-soln)",no,5.299683520651126
100,0,"StochOptForest
(apx-soln)",no,5.612079827002433
100,0,"StochOptForest
(apx-soln)",no,5.4400429344185595
100,0,"StochOptForest
(apx-soln)",no,5.371928900821976
100,0,"StochOptForest
(apx-soln)",no,4.819947250238075
100,0,"StochOptForest
(apx-soln)",no,5.516395552504407
100,0,"StochOptForest
(apx-soln)",no,5.707737212556941
100,0,"StochOptForest
(apx-soln)",no,5.296441069137888
100,0,"StochOptForest
(apx-soln)",no,5.1824894855421135
100,0,"StochOptForest
(apx-soln)",no,4.688375711526862
100,0,"StochOptForest
(apx-soln)",no,5.110483402289679
100,0,"StochOptForest
(apx-soln)",no,4.6263508322599325
100,0,"StochOptForest
(apx-soln)",no,5.628463765837696
100,0,"StochOptForest
(apx-soln)",no,5.016059445541667
100,0,"StochOptForest
(apx-soln)",no,4.9774418529100535
100,0,"StochOptForest
(apx-soln)",no,5.2980614669439765
100,0,"StochOptForest
(apx-soln)",no,5.41374649779977
100,0,"StochOptForest
(apx-soln)",no,5.0570129468270455
100,0,"StochOptForest
(apx-soln)",no,5.617757706281875
100,0,"StochOptForest
(apx-soln)",no,5.340808451415203
100,0,"StochOptForest
(apx-soln)",no,4.789456523993625
100,0,"StochOptForest
(apx-soln)",no,5.154437581690702
100,0,"StochOptForest
(apx-soln)",no,5.354650433648746
100,0,"StochOptForest
(apx-soln)",no,4.874187659056278
100,0,"StochOptForest
(apx-soln)",no,4.902814747291647
100,0,"StochOptForest
(apx-soln)",no,5.175541076967782
100,0,"StochOptForest
(apx-risk)",yes,3.166145936212447
100,0,"StochOptForest
(apx-risk)",yes,3.539197000142256
100,0,"StochOptForest
(apx-risk)",yes,3.3270755205221505
100,0,"StochOptForest
(apx-risk)",yes,4.519153688942007
100,0,"StochOptForest
(apx-risk)",yes,3.055863507362799
100,0,"StochOptForest
(apx-risk)",yes,3.8016885202947175
100,0,"StochOptForest
(apx-risk)",yes,2.8585311312103694
100,0,"StochOptForest
(apx-risk)",yes,4.051019097459551
100,0,"StochOptForest
(apx-risk)",yes,3.7422474640039
100,0,"StochOptForest
(apx-risk)",yes,2.913229714570834
100,0,"StochOptForest
(apx-risk)",yes,4.346226755203731
100,0,"StochOptForest
(apx-risk)",yes,3.4599245099917995
100,0,"StochOptForest
(apx-risk)",yes,4.182544428873607
100,0,"StochOptForest
(apx-risk)",yes,2.5371999010272437
100,0,"StochOptForest
(apx-risk)",yes,4.294602597710797
100,0,"StochOptForest
(apx-risk)",yes,4.468155090672214
100,0,"StochOptForest
(apx-risk)",yes,4.09769312006566
100,0,"StochOptForest
(apx-risk)",yes,2.5779469961732997
100,0,"StochOptForest
(apx-risk)",yes,2.941623327669406
100,0,"StochOptForest
(apx-risk)",yes,4.469338668425781
100,0,"StochOptForest
(apx-risk)",yes,5.044142639396039
