p,Method,rel_risk
10,RandSplitForest,1.9244005756241032
10,RandSplitForest,1.8765410088920744
10,RandSplitForest,1.835793228094151
10,RandSplitForest,1.975614998664611
10,RandSplitForest,1.897322270047063
10,RandSplitForest,1.8784232027280194
10,RandSplitForest,2.0983437567955274
10,RandSplitForest,2.2809064741197855
10,RandSplitForest,1.9754121439075683
10,RandSplitForest,2.07204147683906
10,RandSplitForest,2.0048334038410247
10,RandSplitForest,2.2711508221792265
10,RandSplitForest,1.9543800778202691
10,RandSplitForest,1.9674836352984018
10,RandSplitForest,1.8267241900954112
10,RandSplitForest,2.004262558147748
10,RandSplitForest,1.998314921411989
10,RandSplitForest,2.154961057803342
10,RandSplitForest,2.059764947283734
10,RandSplitForest,1.8930253559034733
10,RandSplitForest,1.8399766542740243
10,RandSplitForest,1.8998119237610422
10,RandSplitForest,2.245678292783022
10,RandSplitForest,1.8416689696283002
10,RandSplitForest,2.046236305705455
10,RandSplitForest,2.1400981661883254
10,RandSplitForest,2.0439649288509125
10,RandSplitForest,2.1280166940446232
10,RandSplitForest,1.7201469965802976
10,RandSplitForest,1.9946129927859169
10,RandSplitForest,1.9302497091687925
10,RandSplitForest,2.0163211432981014
10,RandSplitForest,1.9350553932177408
10,RandSplitForest,2.03060278890363
10,RandSplitForest,2.2058370792218343
10,RandSplitForest,1.8940354389746625
10,RandSplitForest,1.9488442284194099
10,RandSplitForest,1.977356152612588
10,RandSplitForest,2.1138051613102453
10,RandSplitForest,1.800641040685989
10,RandSplitForest,2.054523930041166
10,RandSplitForest,2.1761593624137294
10,RandSplitForest,1.894346161390396
10,RandSplitForest,2.0806096409699117
10,RandSplitForest,1.8485221523370303
10,RandSplitForest,2.0167310002115606
10,RandSplitForest,1.982384758103935
10,RandSplitForest,2.089902339036681
10,RandSplitForest,2.0390202799350896
10,RandSplitForest,2.0011590119562257
10,"StochOptForest
(apx-soln)",1.2431509464678399
10,"StochOptForest
(apx-soln)",1.1720392168917024
10,"StochOptForest
(apx-soln)",1.2770873168861547
10,"StochOptForest
(apx-soln)",1.2920263271331682
10,"StochOptForest
(apx-soln)",1.139655821369825
10,"StochOptForest
(apx-soln)",1.1449182565364668
10,"StochOptForest
(apx-soln)",1.1575735529420923
10,"StochOptForest
(apx-soln)",1.2508968739985653
10,"StochOptForest
(apx-soln)",1.1649564671456136
10,"StochOptForest
(apx-soln)",1.5166523886886678
10,"StochOptForest
(apx-soln)",1.2371189504437856
10,"StochOptForest
(apx-soln)",1.321432965114436
10,"StochOptForest
(apx-soln)",1.2378794677928442
10,"StochOptForest
(apx-soln)",1.423514151057844
10,"StochOptForest
(apx-soln)",1.431914086385296
10,"StochOptForest
(apx-soln)",1.113653195239121
10,"StochOptForest
(apx-soln)",1.2291075430426548
10,"StochOptForest
(apx-soln)",1.216407557672222
10,"StochOptForest
(apx-soln)",1.1016485003284926
10,"StochOptForest
(apx-soln)",1.2634216300521548
10,"StochOptForest
(apx-soln)",1.1659828426419285
10,"StochOptForest
(apx-soln)",1.4458659453906744
10,"StochOptForest
(apx-soln)",1.254986927744247
10,"StochOptForest
(apx-soln)",1.1736725014212825
10,"StochOptForest
(apx-soln)",1.2661510288995115
10,"StochOptForest
(apx-soln)",1.2134769165570056
10,"StochOptForest
(apx-soln)",1.4369273376211735
10,"StochOptForest
(apx-soln)",1.2178852518342962
10,"StochOptForest
(apx-soln)",1.8083833259121291
10,"StochOptForest
(apx-soln)",1.2026562506539147
10,"StochOptForest
(apx-soln)",1.297692054407956
10,"StochOptForest
(apx-soln)",1.3339898345809598
10,"StochOptForest
(apx-soln)",1.3262440793912373
10,"StochOptForest
(apx-soln)",1.289758540097116
10,"StochOptForest
(apx-soln)",1.2701907844872802
10,"StochOptForest
(apx-soln)",1.273253357652248
10,"StochOptForest
(apx-soln)",1.3016422398229395
10,"StochOptForest
(apx-soln)",1.2776799758950261
10,"StochOptForest
(apx-soln)",1.1922955098144603
10,"StochOptForest
(apx-soln)",1.2709712880829467
10,"StochOptForest
(apx-soln)",1.4346998081485731
10,"StochOptForest
(apx-soln)",1.1656326044606389
10,"StochOptForest
(apx-soln)",1.2680555237132924
10,"StochOptForest
(apx-soln)",1.1857093259720306
10,"StochOptForest
(apx-soln)",1.2077410075574508
10,"StochOptForest
(apx-soln)",1.2244645303719017
10,"StochOptForest
(apx-soln)",1.1987073304251294
10,"StochOptForest
(apx-soln)",1.3307330766065761
10,"StochOptForest
(apx-soln)",1.247295725516127
10,"StochOptForest
(apx-soln)",1.2824696530208817
10,"StochOptForest
(apx-risk)",1.2942816437511173
10,"StochOptForest
(apx-risk)",1.2149432360684738
10,"StochOptForest
(apx-risk)",1.305493352612979
10,"StochOptForest
(apx-risk)",1.3292547395212917
10,"StochOptForest
(apx-risk)",1.208943136553644
10,"StochOptForest
(apx-risk)",1.2699616133327956
10,"StochOptForest
(apx-risk)",1.1893133280046628
10,"StochOptForest
(apx-risk)",1.2716826520586246
10,"StochOptForest
(apx-risk)",1.1967004459889914
10,"StochOptForest
(apx-risk)",1.5489128692033667
10,"StochOptForest
(apx-risk)",1.3254607246624552
10,"StochOptForest
(apx-risk)",1.3765592576169383
10,"StochOptForest
(apx-risk)",1.2730566737271265
10,"StochOptForest
(apx-risk)",1.4570963816438407
10,"StochOptForest
(apx-risk)",1.4182857718380344
10,"StochOptForest
(apx-risk)",1.1981504771742226
10,"StochOptForest
(apx-risk)",1.321332108293675
10,"StochOptForest
(apx-risk)",1.2591825557166325
10,"StochOptForest
(apx-risk)",1.1367685302940036
10,"StochOptForest
(apx-risk)",1.2944844931190937
10,"StochOptForest
(apx-risk)",1.2099858559269283
10,"StochOptForest
(apx-risk)",1.470595931852871
10,"StochOptForest
(apx-risk)",1.2512279430696804
10,"StochOptForest
(apx-risk)",1.1727957416506594
10,"StochOptForest
(apx-risk)",1.3299377533659178
10,"StochOptForest
(apx-risk)",1.2750634962867795
10,"StochOptForest
(apx-risk)",1.4690557445477843
10,"StochOptForest
(apx-risk)",1.2601495180899522
10,"StochOptForest
(apx-risk)",1.8215979871101613
10,"StochOptForest
(apx-risk)",1.2584844805044388
10,"StochOptForest
(apx-risk)",1.3441606582017516
10,"StochOptForest
(apx-risk)",1.3948685573230661
10,"StochOptForest
(apx-risk)",1.3387656200664306
10,"StochOptForest
(apx-risk)",1.2448756227726032
10,"StochOptForest
(apx-risk)",1.3290554529218954
10,"StochOptForest
(apx-risk)",1.3273210944041074
10,"StochOptForest
(apx-risk)",1.3707452638827484
10,"StochOptForest
(apx-risk)",1.313997936159203
10,"StochOptForest
(apx-risk)",1.290824078324722
10,"StochOptForest
(apx-risk)",1.3721183186827561
10,"StochOptForest
(apx-risk)",1.4725969868414457
10,"StochOptForest
(apx-risk)",1.163324134792708
10,"StochOptForest
(apx-risk)",1.3267701965140195
10,"StochOptForest
(apx-risk)",1.2295656528816006
10,"StochOptForest
(apx-risk)",1.2505708786576992
10,"StochOptForest
(apx-risk)",1.282284012008534
10,"StochOptForest
(apx-risk)",1.222607952167279
10,"StochOptForest
(apx-risk)",1.331219282761722
10,"StochOptForest
(apx-risk)",1.3043041248520506
10,"StochOptForest
(apx-risk)",1.2698554979159766
10,5-NN,2.242575946378147
10,5-NN,2.2014623173319308
10,5-NN,2.2581040705037916
10,5-NN,2.310244243720549
10,5-NN,2.3180413454638833
10,5-NN,2.3651893976812315
10,5-NN,1.965346879562279
10,5-NN,2.1913142305663724
10,5-NN,2.0020725435256965
10,5-NN,2.2198656085606405
10,5-NN,2.5310104007513266
10,5-NN,2.0814076153052676
10,5-NN,2.147332106072437
10,5-NN,2.1917055242733023
10,5-NN,2.6537739721659492
10,5-NN,2.1998855084117377
10,5-NN,2.5018258811175693
10,5-NN,2.6070462309012066
10,5-NN,2.3638230625150465
10,5-NN,2.3207795590915516
10,5-NN,2.136315782003404
10,5-NN,2.3347870826884742
10,5-NN,2.4698654522679755
10,5-NN,2.14257464837824
10,5-NN,2.5210802283024454
10,5-NN,2.4151216987168054
10,5-NN,2.132808396752588
10,5-NN,2.1797882464118805
10,5-NN,2.369261028127514
10,5-NN,2.253615145160646
10,5-NN,2.31385224301589
10,5-NN,2.4511514193791126
10,5-NN,2.5794311198198416
10,5-NN,1.995011101055785
10,5-NN,2.4872776172043882
10,5-NN,2.45154845309197
10,5-NN,2.2859214751590495
10,5-NN,2.4345603466701773
10,5-NN,2.0396682991305575
10,5-NN,2.103359074534217
10,5-NN,2.518442696412598
10,5-NN,2.140316658923368
10,5-NN,2.112449229620698
10,5-NN,2.2210956771466073
10,5-NN,2.1554673112706695
10,5-NN,1.9853563200940578
10,5-NN,2.2607569420438995
10,5-NN,2.584812385291146
10,5-NN,2.2957429221974244
10,5-NN,2.38895524169515
10,10-NN,1.7708419410186527
10,10-NN,1.7541226653703965
10,10-NN,1.8752067307191564
10,10-NN,1.8334120312497753
10,10-NN,1.9277419379372829
10,10-NN,1.7306723346514337
10,10-NN,1.68770795741854
10,10-NN,1.8351194653597591
10,10-NN,1.7709859116127007
10,10-NN,2.025897980221923
10,10-NN,2.2191392369830694
10,10-NN,1.918647104759667
10,10-NN,1.8175602423900583
10,10-NN,2.0536375881376405
10,10-NN,2.1170406893607434
10,10-NN,1.858210410622731
10,10-NN,1.7402435681976907
10,10-NN,2.14393450845665
10,10-NN,2.0060139533133117
10,10-NN,2.0465075814043616
10,10-NN,1.789760821496113
10,10-NN,1.8853027748731852
10,10-NN,2.064724430009565
10,10-NN,1.7593112064924417
10,10-NN,2.0738323133342655
10,10-NN,1.8454123336334103
10,10-NN,1.8363399302246795
10,10-NN,1.8899818411583964
10,10-NN,1.9531245442054166
10,10-NN,1.9707193660488236
10,10-NN,1.7767670864978693
10,10-NN,1.9444526695638562
10,10-NN,1.9707494108056696
10,10-NN,1.7122405954752595
10,10-NN,1.8652045022497714
10,10-NN,1.9692076928565934
10,10-NN,1.7938221610785037
10,10-NN,2.036632402106683
10,10-NN,1.812489238999733
10,10-NN,1.7420168007134498
10,10-NN,2.1472592572521396
10,10-NN,1.6743059742335524
10,10-NN,1.8395751046176756
10,10-NN,1.873703813694226
10,10-NN,1.722792142773952
10,10-NN,1.6230676863700988
10,10-NN,1.9607839372960523
10,10-NN,2.176547098596568
10,10-NN,1.907670504054495
10,10-NN,2.003508722556708
