n,obj_coef,Method,Honesty,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,2.568249276485312
100,0,"StochOptForest
(apx-soln)",yes,2.9022174624821733
100,0,"StochOptForest
(apx-soln)",yes,1.9133677787305452
100,0,"StochOptForest
(apx-soln)",yes,2.0674677287588796
100,0,"StochOptForest
(apx-soln)",yes,2.7717532328342283
100,0,"StochOptForest
(apx-soln)",yes,1.8961399082677515
100,0,"StochOptForest
(apx-soln)",yes,1.9012158151310878
100,0,"StochOptForest
(apx-soln)",yes,2.612858800442601
100,0,"StochOptForest
(apx-soln)",yes,2.4728156469833222
100,0,"StochOptForest
(apx-soln)",yes,1.9755045296880496
100,0,"StochOptForest
(apx-soln)",yes,2.3238156898259863
100,0,"StochOptForest
(apx-soln)",yes,2.593546946533254
100,0,"StochOptForest
(apx-soln)",yes,1.771953303164844
100,0,"StochOptForest
(apx-soln)",yes,2.005177018766835
100,0,"StochOptForest
(apx-soln)",yes,2.02300613205478
100,0,"StochOptForest
(apx-soln)",yes,1.5316735981513463
100,0,"StochOptForest
(apx-soln)",yes,1.8406358818838024
100,0,"StochOptForest
(apx-soln)",yes,2.0460441211712546
100,0,"StochOptForest
(apx-soln)",yes,2.15944741463819
100,0,"StochOptForest
(apx-soln)",yes,2.356369007572493
100,0,"StochOptForest
(apx-soln)",yes,2.185713364930142
100,0,"StochOptForest
(apx-soln)",yes,1.7415863027416103
100,0,"StochOptForest
(apx-soln)",yes,2.0545915174515406
100,0,"StochOptForest
(apx-soln)",yes,1.8449256835490195
100,0,"StochOptForest
(apx-soln)",yes,1.8164746040786397
100,0,"StochOptForest
(apx-soln)",yes,1.9501988507327035
100,0,"StochOptForest
(apx-soln)",yes,2.0077729740142094
100,0,"StochOptForest
(apx-soln)",yes,2.0071269262144233
100,0,"StochOptForest
(apx-soln)",yes,1.5849211198740605
100,0,"StochOptForest
(apx-soln)",yes,1.7351650939143377
100,0,"StochOptForest
(apx-soln)",yes,1.902788576538967
100,0,"StochOptForest
(apx-soln)",yes,1.6756501114435078
100,0,"StochOptForest
(apx-soln)",yes,2.5172128523604638
100,0,"StochOptForest
(apx-soln)",yes,2.1463172945348368
100,0,"StochOptForest
(apx-soln)",yes,2.1500715263530985
100,0,"StochOptForest
(apx-soln)",yes,1.6973620492466124
100,0,"StochOptForest
(apx-soln)",yes,1.869667746168038
100,0,"StochOptForest
(apx-soln)",yes,2.2288803260265966
100,0,"StochOptForest
(apx-soln)",yes,1.8906840590269631
100,0,"StochOptForest
(apx-soln)",yes,1.6579401036222208
100,0,"StochOptForest
(apx-soln)",yes,2.265592568139353
100,0,"StochOptForest
(apx-soln)",yes,2.173058468444506
100,0,"StochOptForest
(apx-soln)",yes,1.9265514828797725
100,0,"StochOptForest
(apx-soln)",yes,1.9768538897103054
100,0,"StochOptForest
(apx-soln)",yes,2.2170638248712993
100,0,"StochOptForest
(apx-soln)",yes,2.195383275306584
100,0,"StochOptForest
(apx-soln)",yes,1.9387603112951242
100,0,"StochOptForest
(apx-soln)",yes,1.3976567493565486
100,0,"StochOptForest
(apx-soln)",yes,2.046024152735754
100,0,"StochOptForest
(apx-soln)",yes,2.1235455929498572
100,0,"StochOptForest
(apx-risk)",yes,2.5430882322050086
100,0,"StochOptForest
(apx-risk)",yes,2.799075910639819
100,0,"StochOptForest
(apx-risk)",yes,1.9704975671153526
100,0,"StochOptForest
(apx-risk)",yes,2.1592456841797882
100,0,"StochOptForest
(apx-risk)",yes,2.7957947404793875
100,0,"StochOptForest
(apx-risk)",yes,1.8983691163510763
100,0,"StochOptForest
(apx-risk)",yes,1.9098055565220802
100,0,"StochOptForest
(apx-risk)",yes,2.646998518169014
100,0,"StochOptForest
(apx-risk)",yes,2.5864904990771813
100,0,"StochOptForest
(apx-risk)",yes,2.0031609706968987
