n,Method,rel_risk,p
100,"StochOptForest
(apx-soln)",1.1621386382426158,10
100,"StochOptForest
(apx-soln)",1.7460619904498569,10
100,"StochOptForest
(apx-soln)",1.3973916675675513,10
100,"StochOptForest
(apx-soln)",1.5915317604609802,10
100,"StochOptForest
(apx-soln)",1.3988810952877468,10
100,"StochOptForest
(apx-soln)",1.3133491500434256,10
100,"StochOptForest
(apx-soln)",1.467992121498637,10
100,"StochOptForest
(apx-soln)",2.370725398272483,10
100,"StochOptForest
(apx-soln)",1.498072501239,10
100,"StochOptForest
(apx-soln)",1.6519055612113422,10
100,"StochOptForest
(apx-soln)",1.3210337494432816,10
100,"StochOptForest
(apx-soln)",1.5529722825225378,10
100,"StochOptForest
(apx-soln)",1.5940736998984797,10
100,"StochOptForest
(apx-soln)",1.6875428374247423,10
100,"StochOptForest
(apx-soln)",1.7447357291558367,10
100,"StochOptForest
(apx-soln)",1.5943571630717448,10
100,"StochOptForest
(apx-soln)",1.9048010196907605,10
100,"StochOptForest
(apx-soln)",1.6882350334240912,10
100,"StochOptForest
(apx-soln)",1.3654704872255208,10
100,"StochOptForest
(apx-soln)",1.6399865406672811,10
100,"StochOptForest
(apx-soln)",1.2817117288769377,10
100,"StochOptForest
(apx-soln)",1.32463336693667,10
100,"StochOptForest
(apx-soln)",1.3704721379237936,10
100,"StochOptForest
(apx-soln)",1.6759827596797314,10
100,"StochOptForest
(apx-soln)",1.3840935878249156,10
100,"StochOptForest
(apx-soln)",1.8195804134422175,10
100,"StochOptForest
(apx-soln)",1.85199113937473,10
100,"StochOptForest
(apx-soln)",1.7032702468168917,10
100,"StochOptForest
(apx-soln)",1.5799813645830272,10
100,"StochOptForest
(apx-soln)",1.3281481308851988,10
100,"StochOptForest
(apx-soln)",1.496998047264106,10
100,"StochOptForest
(apx-soln)",1.380027652129715,10
100,"StochOptForest
(apx-soln)",1.3965937289845949,10
100,"StochOptForest
(apx-soln)",1.3060644290355092,10
100,"StochOptForest
(apx-soln)",1.3966165529367718,10
100,"StochOptForest
(apx-soln)",1.923424753843949,10
100,"StochOptForest
(apx-soln)",1.4714011588456632,10
100,"StochOptForest
(apx-soln)",2.003940326259679,10
100,"StochOptForest
(apx-soln)",1.6162140290812868,10
100,"StochOptForest
(apx-soln)",1.705274917373142,10
100,"StochOptForest
(apx-soln)",1.305261559250311,10
100,"StochOptForest
(apx-soln)",1.696216740018553,10
100,"StochOptForest
(apx-soln)",1.8021142363224298,10
100,"StochOptForest
(apx-soln)",1.3418667628540855,10
100,"StochOptForest
(apx-soln)",1.356063518452352,10
100,"StochOptForest
(apx-soln)",1.6465258796660232,10
100,"StochOptForest
(apx-soln)",1.7117323188290554,10
100,"StochOptForest
(apx-soln)",1.3078672011259773,10
100,"StochOptForest
(apx-soln)",1.6737333526088454,10
100,"StochOptForest
(apx-soln)",1.4428624282717128,10
100,"StochOptForest
(apx-risk)",1.268987140965858,10
100,"StochOptForest
(apx-risk)",1.6571128371098314,10
100,"StochOptForest
(apx-risk)",1.4163307721703438,10
100,"StochOptForest
(apx-risk)",1.6176307660057099,10
100,"StochOptForest
(apx-risk)",1.392504525370244,10
100,"StochOptForest
(apx-risk)",1.347186907987618,10
100,"StochOptForest
(apx-risk)",1.408218636624152,10
100,"StochOptForest
(apx-risk)",2.4429027938248584,10
100,"StochOptForest
(apx-risk)",1.519857352021583,10
100,"StochOptForest
(apx-risk)",1.6821752249522066,10
100,"StochOptForest
(apx-risk)",1.480430550392982,10
100,"StochOptForest
(apx-risk)",1.5288736006246515,10
100,"StochOptForest
(apx-risk)",1.6239018811787087,10
100,"StochOptForest
(apx-risk)",1.7040170347720438,10
100,"StochOptForest
(apx-risk)",1.755710265837219,10
100,"StochOptForest
(apx-risk)",1.6095603569218893,10
100,"StochOptForest
(apx-risk)",1.8680969086955261,10
100,"StochOptForest
(apx-risk)",1.7864236152947968,10
100,"StochOptForest
(apx-risk)",1.4542619213770422,10
100,"StochOptForest
(apx-risk)",1.705467669346507,10
100,"StochOptForest
(apx-risk)",1.3666337040783918,10
100,"StochOptForest
(apx-risk)",1.42586407938366,10
100,"StochOptForest
(apx-risk)",1.3471110129799888,10
100,"StochOptForest
(apx-risk)",1.716718679005996,10
100,"StochOptForest
(apx-risk)",1.4674354172216788,10
100,"StochOptForest
(apx-risk)",1.7679478808759868,10
100,"StochOptForest
(apx-risk)",1.74826253926472,10
100,"StochOptForest
(apx-risk)",1.6837664811345956,10
100,"StochOptForest
(apx-risk)",1.6594515992681815,10
100,"StochOptForest
(apx-risk)",1.3849694220683384,10
100,"StochOptForest
(apx-risk)",1.553083914354188,10
100,"StochOptForest
(apx-risk)",1.4274500998789996,10
100,"StochOptForest
(apx-risk)",1.4550786503098376,10
100,"StochOptForest
(apx-risk)",1.335398088402774,10
100,"StochOptForest
(apx-risk)",1.4171886681835064,10
100,"StochOptForest
(apx-risk)",1.8918082804210834,10
100,"StochOptForest
(apx-risk)",1.4675259399285778,10
100,"StochOptForest
(apx-risk)",2.0858467614528373,10
100,"StochOptForest
(apx-risk)",1.7095769232130886,10
100,"StochOptForest
(apx-risk)",1.7622318879008065,10
100,"StochOptForest
(apx-risk)",1.4390901347231024,10
100,"StochOptForest
(apx-risk)",1.5998702985412172,10
100,"StochOptForest
(apx-risk)",1.8647133987610163,10
100,"StochOptForest
(apx-risk)",1.402782803709391,10
100,"StochOptForest
(apx-risk)",1.3351489231531615,10
100,"StochOptForest
(apx-risk)",1.708522676002636,10
100,"StochOptForest
(apx-risk)",1.8079244923290787,10
100,"StochOptForest
(apx-risk)",1.4158629855240952,10
100,"StochOptForest
(apx-risk)",1.861366750858511,10
100,"StochOptForest
(apx-risk)",1.528428110361296,10
100,RandForest,1.2837224202791615,10
100,RandForest,1.7127194902138807,10
100,RandForest,1.8807555798808135,10
100,RandForest,1.8976128774620709,10
100,RandForest,1.5308271007930936,10
100,RandForest,1.4477026798673467,10
100,RandForest,1.8298859329502417,10
100,RandForest,2.6969402214998937,10
100,RandForest,2.0184484294106952,10
100,RandForest,1.8541810110544918,10
100,RandForest,1.719568257943616,10
100,RandForest,1.4623972970888839,10
100,RandForest,1.704770617419013,10
100,RandForest,1.573783014305,10
100,RandForest,1.8119294287819363,10
100,RandForest,1.8699519346104385,10
100,RandForest,1.882519945507269,10
100,RandForest,2.0221886321305766,10
100,RandForest,1.440181081976887,10
100,RandForest,1.9630486801660862,10
100,RandForest,1.4526076080805108,10
100,RandForest,1.6335990315623394,10
100,RandForest,1.39168970081539,10
100,RandForest,1.8237295817284422,10
100,RandForest,1.649466435823142,10
100,RandForest,2.0576408711920036,10
100,RandForest,2.28892508547779,10
100,RandForest,1.997482748442174,10
100,RandForest,1.8174187358545038,10
100,RandForest,1.5595378419895758,10
100,RandForest,1.544202947219677,10
100,RandForest,1.4084837138387112,10
100,RandForest,1.654064529893719,10
100,RandForest,1.4370575929029579,10
100,RandForest,1.4336311815528189,10
100,RandForest,1.8654557018101705,10
100,RandForest,2.341349961573075,10
100,RandForest,2.073581075396571,10
100,RandForest,1.7234319176924227,10
100,RandForest,1.754439538376797,10
100,RandForest,1.3574747683218074,10
100,RandForest,2.045108536714772,10
100,RandForest,2.215854545767444,10
100,RandForest,1.4338567658940136,10
100,RandForest,1.5331147772490936,10
100,RandForest,1.6749208610301016,10
100,RandForest,1.802526670263582,10
100,RandForest,1.3449504195201116,10
100,RandForest,1.7133880643585886,10
100,RandForest,1.3937334762602027,10
100,GenRandForest,1.3408050101141438,10
100,GenRandForest,1.7104177197894923,10
100,GenRandForest,1.8777194481160495,10
100,GenRandForest,1.8441283362375558,10
100,GenRandForest,1.5291005281891479,10
100,GenRandForest,1.3861180578934627,10
100,GenRandForest,1.742243819011654,10
100,GenRandForest,2.6354196226335747,10
100,GenRandForest,1.7508084583556371,10
100,GenRandForest,1.8436853881666186,10
100,GenRandForest,1.5995453012750003,10
100,GenRandForest,1.5250655373219553,10
100,GenRandForest,1.7454634571600889,10
100,GenRandForest,1.7053421511104576,10
100,GenRandForest,1.820217198784833,10
100,GenRandForest,1.8493569113849824,10
100,GenRandForest,1.8898044286691231,10
100,GenRandForest,1.9174993608226256,10
100,GenRandForest,1.4439040807526398,10
100,GenRandForest,1.7929923650833048,10
100,GenRandForest,1.5216304603487658,10
100,GenRandForest,1.548600494921913,10
100,GenRandForest,1.5550323228074763,10
100,GenRandForest,1.7826050294412388,10
100,GenRandForest,1.5738815597412519,10
100,GenRandForest,1.824839670336148,10
100,GenRandForest,2.2012625331542663,10
100,GenRandForest,1.8199875927053992,10
100,GenRandForest,1.7057766575433981,10
100,GenRandForest,1.4918926847597147,10
100,GenRandForest,1.601849401157277,10
100,GenRandForest,1.4169684331111174,10
100,GenRandForest,1.7156495723481,10
100,GenRandForest,1.4148057143189345,10
100,GenRandForest,1.4267500367735422,10
100,GenRandForest,1.93209864395205,10
100,GenRandForest,1.5974693606416075,10
100,GenRandForest,2.1696112633991462,10
100,GenRandForest,1.7650086036132357,10
100,GenRandForest,1.8519606553048755,10
100,GenRandForest,1.4324394965684861,10
100,GenRandForest,1.8050520918748614,10
100,GenRandForest,2.2719007538508795,10
100,GenRandForest,1.4416691824775105,10
100,GenRandForest,1.5028516951281181,10
100,GenRandForest,1.715709546903842,10
100,GenRandForest,1.8856620508734137,10
100,GenRandForest,1.4321181830024035,10
100,GenRandForest,2.041133184339908,10
100,GenRandForest,1.6212511818395174,10
100,"StochOptForest
(oracle)",1.1772044117794265,10
100,"StochOptForest
(oracle)",1.6233856443849906,10
100,"StochOptForest
(oracle)",1.3699532569922424,10
100,"StochOptForest
(oracle)",1.587247780299814,10
100,"StochOptForest
(oracle)",1.2421549614289906,10
100,"StochOptForest
(oracle)",1.2531965930298037,10
100,"StochOptForest
(oracle)",1.419337169973635,10
100,"StochOptForest
(oracle)",2.341621138268128,10
100,"StochOptForest
(oracle)",1.48755455547775,10
100,"StochOptForest
(oracle)",1.5347691106775427,10
100,"StochOptForest
(oracle)",1.2796821978545294,10
100,"StochOptForest
(oracle)",1.4755364219663987,10
100,"StochOptForest
(oracle)",1.6286349669257163,10
100,"StochOptForest
(oracle)",1.5111725525930224,10
100,"StochOptForest
(oracle)",1.7129157533548636,10
100,"StochOptForest
(oracle)",1.5861197453325833,10
100,"StochOptForest
(oracle)",1.8105461134971454,10
100,"StochOptForest
(oracle)",1.6930836098160693,10
100,"StochOptForest
(oracle)",1.426037361023244,10
100,"StochOptForest
(oracle)",1.633924508216345,10
