p,Method,rel_risk
5,RandSplitForest,1.5822262240885627
5,RandSplitForest,1.521304963070076
5,RandSplitForest,1.5823815975093498
5,RandSplitForest,1.3326280836523257
5,RandSplitForest,2.1550218299508495
5,RandSplitForest,1.8734606922857708
5,RandSplitForest,1.3619164225106466
5,RandSplitForest,1.5397549009693996
5,RandSplitForest,1.8677455089332582
5,RandSplitForest,1.7491819628676237
5,RandSplitForest,1.4999999285044134
5,RandSplitForest,1.321137383375157
5,RandSplitForest,1.7067774529345958
5,RandSplitForest,1.43146922450358
5,RandSplitForest,1.4089605358243764
5,RandSplitForest,2.234686050614068
5,RandSplitForest,1.4275751473445029
5,RandSplitForest,1.4597578696584947
5,RandSplitForest,1.4838088701569043
5,RandSplitForest,1.7327193302466886
5,RandSplitForest,2.2110762409381217
5,RandSplitForest,1.4195582021459836
5,RandSplitForest,1.3756126243661728
5,RandSplitForest,2.041441422917008
5,RandSplitForest,1.5256093712001624
5,RandSplitForest,1.817570571276984
5,RandSplitForest,1.8513161127860873
5,RandSplitForest,1.8339230825711146
5,RandSplitForest,1.4381229721901818
5,RandSplitForest,1.6682166618434042
5,RandSplitForest,1.6110137226438923
5,RandSplitForest,1.4987417656758955
5,RandSplitForest,1.5341474815964768
5,RandSplitForest,1.5165939787487779
5,RandSplitForest,2.083948507677067
5,RandSplitForest,1.4655581718251003
5,RandSplitForest,1.3603133776057688
5,RandSplitForest,1.7462392936812259
5,RandSplitForest,1.4648293226328888
5,RandSplitForest,1.3674625412412353
5,RandSplitForest,1.6385845587821726
5,RandSplitForest,1.5291209150959426
5,RandSplitForest,1.617023816651471
5,RandSplitForest,1.3670618084416757
5,RandSplitForest,1.8393145027099185
5,RandSplitForest,1.8881373298067583
5,RandSplitForest,1.7528975317078874
5,RandSplitForest,1.4913255863412305
5,RandSplitForest,1.6859569775652812
5,RandSplitForest,1.4018810502568126
5,"StochOptForest
(apx-soln)",1.1543779887160577
5,"StochOptForest
(apx-soln)",1.1228130218020258
5,"StochOptForest
(apx-soln)",1.0932226772806222
5,"StochOptForest
(apx-soln)",1.0836991689424327
