"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"09/17/2019","1237","Census Tract 208302","1236","Census Tract 208301",61,27,139,90,36,222,67,29,152,56,26,120,49,24,98,47,21,100
"09/18/2019","1237","Census Tract 208302","1236","Census Tract 208301",55,26,117,74,32,169,58,29,118,63,27,146,39,22,70,34,20,60
"09/19/2019","1237","Census Tract 208302","1236","Census Tract 208301",53,25,110,73,34,157,61,28,130,50,25,102,40,22,73,41,20,83
"09/20/2019","1237","Census Tract 208302","1236","Census Tract 208301",48,23,103,62,31,123,50,25,100,49,23,103,47,21,104,37,18,75
"09/21/2019","1237","Census Tract 208302","1236","Census Tract 208301",39,20,75,40,20,80,42,22,80,44,22,89,39,21,72,31,18,55
"09/22/2019","1237","Census Tract 208302","1236","Census Tract 208301",39,19,79,35,19,67,50,23,110,41,19,88,41,20,82,31,17,56
"09/23/2019","1237","Census Tract 208302","1236","Census Tract 208301",56,25,124,65,29,143,107,42,271,47,22,99,43,21,87,35,18,67
"09/24/2019","1237","Census Tract 208302","1236","Census Tract 208301",52,24,111,68,31,151,48,26,88,61,27,133,37,19,73,40,19,83
"09/25/2019","1237","Census Tract 208302","1236","Census Tract 208301",55,25,119,67,31,141,69,32,149,48,23,100,51,24,111,39,20,75
"09/26/2019","1237","Census Tract 208302","1236","Census Tract 208301",58,26,129,87,41,186,70,30,160,58,25,131,39,21,72,41,20,86
"09/27/2019","1237","Census Tract 208302","1236","Census Tract 208301",55,26,113,69,33,147,72,32,163,54,26,114,43,23,78,38,20,70
"09/28/2019","1237","Census Tract 208302","1236","Census Tract 208301",48,23,101,39,19,79,69,32,149,60,26,135,41,20,80,31,16,57
"09/29/2019","1237","Census Tract 208302","1236","Census Tract 208301",37,19,68,43,20,92,33,19,57,48,23,98,35,20,61,29,16,52
"09/30/2019","1237","Census Tract 208302","1236","Census Tract 208301",43,21,87,54,24,121,54,29,101,40,20,79,40,20,79,27,15,51
"07/01/2019","1237","Census Tract 208302","1236","Census Tract 208301",49,23,102,58,29,113,42,23,74,59,25,141,44,21,91,35,18,67
"07/02/2019","1237","Census Tract 208302","1236","Census Tract 208301",45,22,91,57,27,118,54,27,106,45,22,93,37,19,73,31,17,59
"07/03/2019","1237","Census Tract 208302","1236","Census Tract 208301",45,23,89,47,22,100,48,25,93,49,24,101,41,23,72,36,18,73
"07/04/2019","1237","Census Tract 208302","1236","Census Tract 208301",41,21,82,49,26,92,37,20,67,35,18,68,47,23,95,36,18,71
"07/05/2019","1237","Census Tract 208302","1236","Census Tract 208301",43,21,88,47,27,82,46,24,88,42,21,82,43,20,92,42,19,91
"07/06/2019","1237","Census Tract 208302","1236","Census Tract 208301",39,19,77,39,17,87,37,20,69,42,21,84,40,21,76,34,17,69
"07/07/2019","1237","Census Tract 208302","1236","Census Tract 208301",43,21,88,47,20,114,40,21,75,51,22,114,36,19,66,41,21,82
"07/08/2019","1237","Census Tract 208302","1236","Census Tract 208301",46,21,98,78,32,186,54,28,104,41,19,87,34,18,64,40,19,83
