,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1556.2657884247833,1554.0220472151289,1553.5004955615993,1555.6333603178446,1554.0079894613718,1556.6672817661201,1556.0510127782666,1557.8249103453727,1519.0632089384058
0,1583.2038267960447,1575.2175739991003,1571.4777120036038,1574.9779178997062,1575.1533657912744,1573.6310848081282,1573.69617806896,1574.1442051483364,1538.5825622192858
0,1553.9089299157852,1569.5651552342713,1558.6120307177682,1555.006673520283,1554.302137035916,1558.6657315575846,1560.7313496853203,1559.0525082873157,1516.0728751158385
0,1540.6876785345032,1549.8489085685162,1547.769572468231,1541.0763114661368,1544.8283972241102,1545.705327165351,1547.9959899163537,1542.3323355545774,1502.5312324199476
0,1559.4328294815034,1568.5736386539907,1565.6698305285531,1557.7730560329799,1560.0937526604441,1561.324989894696,1565.3696533966927,1563.0221338094682,1523.532425807642
0,1551.4218493193298,1557.8616923254385,1552.3943274616258,1551.6517242086259,1552.959413400799,1553.7650582599206,1553.0793611751592,1558.243241205606,1517.6354288111254
0,1554.4192805024798,1554.0332334432144,1552.781909285234,1550.770620034135,1553.8822678123445,1553.1802101542,1552.8267667810144,1553.7308897664027,1511.0710615165285
0,1573.1731729462695,1580.013813211253,1570.3253572076542,1563.6486632234387,1574.020212384487,1573.1564494322595,1571.2409436919665,1566.8603933728002,1524.498003437736
0,1551.674029945463,1551.8118441864685,1548.257896601583,1551.2526652658619,1548.0738057372557,1548.2918139791643,1549.0451488551557,1548.6986423906196,1509.9549442592563
0,1571.2989726038986,1586.7591318618083,1572.930779631815,1569.8861666160312,1567.4912171811836,1570.5886113674715,1571.9944397314953,1571.6030505214676,1529.2484448931468
0,1565.1805951023557,1565.3810765106377,1558.7175049949938,1559.4152379178036,1559.3273531596465,1559.5958591961216,1562.9022188553895,1563.5742508209908,1522.3650183951868
0,1560.8119306587867,1568.917498972182,1569.2308220840923,1560.2405269318501,1562.2286292321278,1564.3759701310994,1566.1720218557566,1558.544528893148,1518.7793462177885
0,1559.0847787874154,1567.9026160146534,1562.9754479260193,1555.9198898050267,1559.093291609595,1557.8084098343318,1565.7535675801328,1560.9229187519102,1520.8314245053775
0,1556.467135015713,1557.692183873778,1552.2960116840648,1554.0804824976733,1550.8709016628572,1552.071533259634,1554.045009131599,1556.2006977760313,1518.9692513094687
0,1547.5587848309913,1557.5722836067619,1548.4671539943852,1549.6890536743956,1548.3060696732532,1551.0790825264257,1551.345839018378,1549.990642264691,1512.898073162353
0,1577.888143880843,1583.4342096131431,1576.8890455676822,1575.2112502205368,1576.7936886860566,1576.77277844312,1580.5196721746556,1581.9070371955816,1533.737792505454
