,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1556.6709784205707,1560.0283553212564,1555.2218014951407,1555.5374477302285,1556.2841729802476,1556.7792983910576,1555.7913198489136,1560.269946008092,1522.3415011167906
0,1558.3361877490534,1561.112091591707,1557.2567485326697,1556.8085481334253,1555.7773634944062,1556.8007894302275,1556.8220724243029,1560.27402535442,1523.9241506754652
0,1562.0948927436132,1561.515531479281,1558.7134290859028,1558.1062208933427,1558.7559727758676,1559.0271694618414,1559.9440356506677,1566.5885048952102,1527.916949666284
0,1558.6606620410457,1560.033760701787,1556.8884725193977,1556.3076517092702,1556.9317869406434,1555.9474807452198,1556.3467767246323,1561.6757300968095,1525.0303726203383
0,1550.061205110062,1549.917442888917,1548.6288548409293,1548.2784087281386,1545.8758351635522,1547.6002300062648,1547.6733508882573,1550.8941023457137,1515.2539166104964
0,1547.5911925493808,1549.7827751141403,1546.3334332817426,1545.6933030391524,1545.1462772980615,1544.6656552179038,1545.1713849062571,1549.2976575519012,1511.7777886865674
0,1550.0808845570236,1557.7504390099416,1549.7920282069492,1548.2175410551963,1548.5511081179302,1550.1961655659384,1552.5062508216893,1550.9100717645042,1516.0606137985044
0,1562.3522102531701,1562.3731865275413,1561.7832311820293,1561.8866001515203,1561.3345818686503,1561.340540613024,1560.8116658806855,1565.1454784017913,1525.9158736349668
0,1552.2632268823006,1554.4905352727803,1552.6317569325938,1551.648326240133,1552.0401767312728,1551.8935718404978,1552.4352473237482,1557.0400365541495,1520.3601491875972
0,1555.2154969231808,1555.7938430309268,1553.6945803326112,1553.195043877979,1552.6775420901138,1551.5739506659907,1552.617821051328,1555.7754417752496,1520.6577476703817
0,1554.602367842642,1557.1089899279289,1553.3153622287307,1550.3508225851706,1552.5165021114824,1551.5371362122821,1552.8173742479125,1556.4624151446721,1518.9506069219171
0,1567.1252551300333,1565.514910054159,1563.7855771894513,1563.0505093347324,1563.7412599095107,1563.1483789575861,1563.9580269012292,1566.9038044812532,1527.8886166777977
0,1550.680334783631,1553.8523874901775,1547.7511450896973,1549.5885215073213,1547.7394512833814,1547.2401490020543,1549.1770582073389,1551.9289627394746,1516.7990721173069
0,1559.2413512178941,1567.3440207447284,1559.2053191714556,1558.358388164667,1558.731722103171,1559.221742504577,1561.7431946750382,1562.0157791327103,1520.828240325676
0,1554.8469041988958,1552.3798454816667,1553.1309648265797,1550.7207665413591,1552.1772254447933,1550.4511958780636,1550.344510992294,1556.9433212683673,1520.073788637082
0,1554.298121155734,1553.799700217088,1551.8150678626841,1551.3003502758615,1552.199812047447,1551.1736383809168,1552.3658085178192,1559.4146869562464,1522.3918927288053
0,1559.4219918529802,1566.5002750176066,1559.9917833049267,1558.1148255962544,1558.4174633444281,1559.0819606661728,1560.1524955081836,1560.5211081486038,1525.2688264402143
0,1549.419544339912,1551.0055387472355,1547.9999971413347,1549.4542170269387,1548.3268924663023,1548.516511420525,1548.7253828807554,1550.9195981249666,1517.154144916388
0,1558.3311169282122,1559.0990374027363,1557.2901788913432,1557.7507868156795,1558.5358153890475,1557.5396763573888,1557.993246032936,1561.4197094826122,1522.4011934998025
0,1547.8176597556292,1553.7226041507474,1548.0298471145672,1546.547810263076,1547.6173626589077,1546.5823910098268,1547.9220734235548,1545.892663955544,1511.7540994307856
0,1559.5841813250677,1558.5669512980503,1556.90969348365,1556.489945320418,1555.8671511106645,1556.3514133867336,1556.936628811809,1560.7497138649396,1523.5260816626098
0,1559.5314448539968,1559.7881496207467,1555.7725251205416,1556.3183491956872,1556.1320255751373,1556.369533478023,1557.1296415344332,1561.9100865675184,1524.90421949706
0,1557.9438787205147,1555.7835138424991,1554.6436457712093,1553.8630131516613,1555.3586794552727,1553.4588235747192,1552.4166018601888,1559.070201038532,1523.0918795717525
