,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1560.9493272617296,1567.8989647672192,1562.5704495278417,1561.651823160486,1561.4936038494984,1561.3434068573208,1564.966547040373,1561.5879083560517,1521.9604738048224
0,1542.78635560207,1541.3015239569954,1540.7091490722803,1539.51391439188,1541.408857327909,1539.7908790788988,1540.4803822432903,1540.0574160949566,1506.0939031808455
0,1557.1982736662196,1560.5094966560127,1556.9495467214442,1556.1851193375978,1556.3066594828572,1557.165368435239,1556.785983546574,1560.362911371737,1520.5020583244893
0,1556.333356613662,1563.79781665456,1558.6941808988222,1556.1724641205324,1556.4933745788028,1557.1344729536918,1558.5200876229458,1557.2319028604813,1518.9243847059606
0,1551.9782786697203,1554.6767769278533,1550.48985524543,1550.94330372752,1550.8953742048293,1550.9290887072304,1551.7165066509776,1552.8553093155226,1514.8393644686341
0,1554.9152862458295,1557.519111903884,1555.0030603825974,1554.4828646689136,1555.0679184953165,1555.6112515960044,1555.4018599827261,1556.116788131346,1518.0060424654278
0,1541.8766474442946,1545.0988960512937,1542.8001054851281,1541.6840304028856,1542.082278591774,1542.4270799277294,1541.7702739320762,1546.2195850110104,1509.5224537161605
0,1563.7000444535695,1563.928087976408,1561.8789615111816,1560.4122655710778,1560.935390361832,1560.8513219556214,1561.2840529995453,1563.0528233455527,1526.4441756001797
0,1552.1278725936015,1553.3565589233626,1552.8868763312748,1550.095035024965,1550.7748362687862,1550.2531970346972,1550.1286308587282,1553.1077888469254,1515.632573236322
0,1541.1127830870375,1542.0311956750647,1540.211891379508,1539.9547959053048,1541.5248765126871,1539.6663804992688,1539.2419621524812,1540.6044899891062,1505.5428979901671
0,1566.6301690844366,1571.8343544547781,1567.2198883305157,1565.3777786822661,1564.6913628740965,1565.8213100768376,1568.3627108366882,1565.9273397220522,1526.5606612718786
0,1557.5328100660581,1558.492795981041,1555.4340115125349,1555.0094357854912,1556.5846849731277,1554.8582420341452,1555.9266089194766,1557.8241998973854,1520.173713272346
0,1557.492562098553,1559.3989701812677,1555.8387738918948,1556.402698199945,1555.5730714296485,1556.6617812397967,1556.2101999295219,1558.438192000259,1518.2255162915426
0,1560.055372093591,1566.5526920848256,1560.3247812732216,1558.3827711097847,1557.688572191394,1558.372249746355,1558.720040631224,1560.670201387546,1522.5381319389353
0,1559.480275587299,1560.2324554808897,1558.131324586175,1557.3952305367327,1557.151830228245,1555.5553129275145,1556.341075939629,1558.388198062888,1517.8589146479953
