,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1545.0403655444595,1548.7779116617253,1544.7708964067863,1544.9824425090058,1544.6323560532462,1544.632881164672,1546.3319538127744,1548.61359231605,1514.7144844151587
0,1549.5193592953428,1553.0905330114947,1549.1141997561103,1549.0248107414782,1548.5317493071777,1549.05166506223,1550.01895675246,1553.6277265505032,1518.878979587809
0,1546.3940551911137,1547.8209769400291,1545.5922451116803,1544.0000314023373,1544.5787890757404,1544.3334725180405,1544.7936847019812,1549.6622528987482,1515.4810253125709
0,1539.3476745469009,1541.43336451537,1536.4724521490275,1537.60521414058,1536.0656268365992,1537.124082309371,1538.9815308799116,1541.4730057280449,1509.8965502236579
0,1544.17674201202,1546.8222057604278,1544.2649035345114,1544.4886066520753,1543.8350943039895,1544.605385688091,1545.0864366977664,1551.1633151783465,1516.5507835830056
0,1548.657163307169,1551.322966746711,1548.197234029674,1546.7408269898056,1546.6375932860597,1547.4834370783433,1547.6620070241424,1552.2990938240878,1518.1288564022175
0,1543.8218513127185,1545.9383152133908,1543.2281679525004,1542.6385112047528,1542.8842057289353,1543.6023425740643,1544.2979159337824,1548.3521503905724,1514.6570304947993
0,1550.0416847253177,1551.243551495463,1549.737273527957,1549.2973943817076,1548.3859908596137,1549.4052332410026,1549.369821848666,1554.828002954339,1518.0047619365264
0,1535.2427739356253,1541.7254580154959,1534.3293442677307,1535.0871858571522,1534.1666526132774,1534.9420373243472,1536.787448390497,1537.8830387404748,1504.2872368248334
0,1550.8762580777488,1548.2610368668904,1547.8184412972223,1546.0331242470452,1547.0667625926349,1546.1369425744906,1546.9923621309022,1552.191180215317,1518.5965932425433
0,1546.9705930308762,1550.5627927366731,1546.6140208138431,1546.2318696471475,1546.5039660228672,1547.181797119778,1547.3867991467823,1552.279815648723,1515.7762109857738
0,1547.110873627511,1548.9347174683912,1545.349190231469,1546.0648342604682,1544.9806158769777,1545.687052135761,1546.7003097726313,1549.5746147519592,1515.9959277767377
0,1546.1472934504138,1549.0310226553904,1546.2182527550501,1545.986408262622,1546.098830071724,1545.2367763938248,1546.228147137712,1550.8313222761083,1514.9797635003847
0,1523.5328544697911,1525.59407725351,1522.9802704060385,1522.4316084804866,1522.95969969595,1523.1103081838223,1522.600209178964,1528.1970547428268,1496.0700835756588
0,1532.6864535221584,1538.7854952069338,1532.310028865692,1530.8806485866457,1530.3205495600387,1531.5612062475302,1534.064356407713,1534.726217535128,1502.5856998430077
0,1546.1878672072844,1551.7414540982238,1546.2000136388215,1546.973271747036,1546.21919176862,1546.5671894981112,1547.45265505831,1549.719872582175,1512.7611197056162
0,1537.726152940382,1543.5524452581183,1537.4406763613952,1537.016605674105,1536.8850413325752,1536.3751282831654,1538.2270387305407,1540.0577893375146,1508.3910342302893
0,1545.5597116785325,1545.6789639330232,1545.0481961856735,1544.6873732869797,1544.2718576659563,1543.0321359707125,1544.3423324667508,1547.2537569649323,1513.3788893410956
0,1550.7343664544767,1552.728257387529,1549.6684526657875,1550.1502106532403,1548.7550219712964,1548.7369317013045,1550.8293741689765,1553.621055770916,1519.4701684939646
0,1543.5411665239928,1544.514184434482,1543.060767639979,1544.9499574482145,1542.4388046262811,1542.0976595325355,1543.4394210195635,1546.8778562555162,1514.8690150417767
